Topic ID,Top Words,Category,Sub-Category,Specifics
TOPIC 0, certif http ssl connect server twitter secur websocket trust use ,Network Security,Digital Certificates,
TOPIC 1, script page load content chrome ifram exten execut inject run ,Software Vulnerabilities,Mitigation,Security Policy
TOPIC 2, authent api app token user access use author googl applic ,Access Control,Tokens,
TOPIC 3, encod string decod url javascript base64 charact convert python valu ,Cryptography,Encoding,
TOPIC 4, login page redirect user log angular button javascript angularj click ,Access Control,Authentication,Login Page
TOPIC 5, valid form field submit javascript jqueri input html button check ,Secure Development,Implementation,Web Form
TOPIC 6, json java array android par io cordova data object applet ,Secure Development,Implementation,Mobile Development
TOPIC 7, password usernam user login databa store hash enter save bcrypt ,Data Security,Password/Data Storage,
TOPIC 8, user sign fireba email account id creat firebas rule databa ,Secure Development,Libraries/Configuration,Firebase
TOPIC 9, number charact regex valid react-n match digit express length special ,Software Vulnerabilities,Network Exploits,Password Requirements Checking
TOPIC 10, server client data send user request ajax secur post valid ,Network Security,Client/Server,Data Transfer
TOPIC 11, cooki session token store request csrf user jwt storag valu ,Access Control,Tokens,CSRF
TOPIC 12, key hash gener signatur public use privat librari sign md5 ,Cryptography,Encryption,Public Private Key
TOPIC 13, file php javascript imag js script upload download html use ,Network Security,File Transfer,
TOPIC 14, browser domain request header site url cor chrome origin firefox ,Other,,Web Browsers
TOPIC 15, function valu variabl object pass javascript assign properti return method ,Secure Development,Implementation,JavaScript Functions
TOPIC 16, encrypt decrypt key cryptoj use javascript ae data java c# ,Cryptography,Encryption,
TOPIC 17, javascript code use secur want make need know browser look ,Secure Development,Implementation,
TOPIC 18, facebook sdk scope global ldap login.html appl integr graph sign-up ,Secure Development,Libraries/Configuration,Facebook Framework
TOPIC 19, error work code tri javascript follow use problem return node.j ,Secure Development,Testing,
TOPIC 20, window rail close dialog asset command cart ii transact powershel ,Other,,
TOPIC 21, html xss inject javascript attack tag script input use sanit ,Software Vulnerabilities,Network Exploits,XSS
