postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
614,https://api.github.com/repos/zabbix/zabbix-docker/issues/614,issue,baseurl saml authent behind revers proxi,hi run zabbix server web mysql docker contain traefik v revers proxi front handl tls termin letsencrypt certif attempt saml authent work azur ad run issu saml request gener zabbix contain intern callback url e g azur ad expect see need abil base url saml request run behind revers proxi,try manual specifi sso set baseurl etc zabbix web zabbix inc php work similar issu docker contain send follow url tri set etc zabbix web zabbix inc php exist must creat etc zabbix web zabbix conf php neither appear chang behavior contain restart chang know pick chang zabbix conf php forgot semicolon first look zabbix statement appear baseurl appear list hardcod similar problem saml request contain tri baseurl set sso set zabbix conf php make differ request issu tri saml behind traefik revers proxi mean zabbix conf php instead zabbix inc php guy found workaround edit file usr share zabbix vendor php saml src saml util php frontend contain make sure point file persist docker volum edit line work fine traefik zabbix guy found workaround edit file usr share zabbix vendor php saml src saml util php frontend contain make sure point file persist docker volum edit line work fine traefik zabbix thank seem work guy found workaround edit file usr share zabbix vendor php saml src saml util php frontend contain make sure point file persist docker volum edit line work fine traefik zabbix thank full solut need someth els look zabbix must allow setproxyvar quot php applic behind proxi load balanc execut take care var otherwis ignor quot guy found workaround edit file usr share zabbix vendor php saml src saml util php frontend contain make sure point file persist docker volum edit line work fine traefik zabbix thank full solut need someth els solut hope someon find anoth ad saml paramet zabbix conf php guy found workaround edit file usr share zabbix vendor php saml src saml util php frontend contain make sure point file persist docker volum edit line work fine traefik zabbix thank full solut need someth els solut hope someon find anoth ad saml paramet zabbix conf php think best ad abil manag saml sso paramet env web agre much param quit clear one use chang instead url chang proxyvar instead url chang proxyvar chang proxyvar variabl true zabbix vendor php saml src saml util php correct url chang traefik keycloak zabbix work fine,7,30,saml|authentication|tls|encrypt|certificate|sso|forge,407,0.07371007371007371,0.6962626576423645
96,https://api.github.com/repos/spantaleev/matrix-docker-ansible-deploy/issues/96,issue,keycloak sso togeth matrix mxisd matrix synaps rest auth rest authent password provid modul,suggest final solut keycloak sso togeth matrix see sever auth option link option default mxisd matrix ident server option advanc matrix synaps rest auth rest authent password provid modul anoth word deploy need origin post,familiar keyclock look websit support openid connect saml sound good fit rest auth plugin mayb synaps integr saml sso support sure well work seen someth synaps config mayb support playbook support gener synaps config saml stuff yet manual edit file restart synaps see make work good fit work easi add saml configur support playbook thank try move direct good afternoon access instal directori restrict root prefer manual edit config propos earlier find password matrix user uid gid sorri newbi ansibl playbook edit configur question easier come support room guess close solut mxisd new project avail ad around matrix synaps releas keycloak doc,7,15,sso|authentication|password|openid|saml|integrity|availability,152,0.09868421052631579,0.5326371192932129
57,https://api.github.com/repos/openipcamera/openipc-firmware/issues/57,issue,unabl flash openipc fw fang hack work,correct use xiaomi dafang hack fang hack hi abl flash openipc fw unabl boot success abl work show step patch work fang hack build openipc tri combin two luck far one thing notic run sh refer system sdcard config cannot find directori cheer chri,tri run firmwar wyze v v hardwar pleas read whole readm edit run sh work v hi far understand camera v audio prompt set camera well flash led read readm regard chri samtap work v sorri use dafang hack fang hack tri see work past wrong link openipc fork dafang hack need try integr two patch work dafang hack build openipc openipc fork quit number develop dafang hack sure openipc fork work help guidanc much appreci differ openipc work wyze simpl download img etcher write sd card turn camera insert memori card camera hold button bottom cam plug hold led light turn blue wait kernel differ dafang hack openipc,2,11,hack|integrity,161,0.06832298136645963,0.48882243037223816
17186,https://api.github.com/repos/bioconda/bioconda-recipes/issues/17186,issue,conflict use conda forg bioconda strict channel prioriti,conda option help ensur packag come desir channel problem regard channel order mean cannot instal certain combin packag environ use strict channel prioriti exampl channel prioriti conda forg biopython instal biopython python togeth problem howev try channel prioriti bioconda conda forg conflict particular case realis problem occur biopython avail channel date bioconda solv case channel prioriti conda forg bioconda howev think gener problem problem try conda forg bioconda e g try instal bcftool channel prioriti conda forg biopython conflict e g particularli understand ask instal singl packag bcftool surpris even occur conflict unsatisfi help advic much appreci,add channel prioriti bioconda conda forg pin biopython version number ensur come conda forg still conflict least narrow failur alway conda forg bioconda work still anyon els test newer conda thank test chang retest thank follow sorri fell radar look fix close,2,10,forge|availability,148,0.06756756756756757,0.48627015948295593
5292,https://api.github.com/repos/bioconda/bioconda-recipes/issues/5292,issue,ad biopython conda forg,look add option user try biopython instal use xref,make easier peopl find biopython depend conda forg forese futur remain avail bioconda user channel preced bioconda doc bioconda check first conda forg sound window user packag conda forg mac linux user sourc bioconda unless remov bioconda avail conda forg ever easiest packag maintain ping familiar bioconda updat work updat e g conda forg look somewhat similar although one repositori per packag default channel updat take current plan bioconda expand cover window use appveyor assum great biopython alreadi default channel mac linux window alreadi two releas date easi updat best option otherwis given window conda packag seem right conda forg look good idea tri updat binari biopython default channel ask upload recip quit slow issu quickli creat patch biopython recip conda forg biopython conda forg advantag provid window deprec bioconda biopython recip linux mac continu updat deprec orchestr effort next month still need figur good sustain strategi biopython gener issu deprec bioconda packag speak biopython perspect mind biopython conda forg bioconda will help keep either recip date gener strategi deprec recip guess fine remov bioconda go conda forg yes possibl want avoid duplic packag simpl pull request remov entir bioconda directori problem pull request remov biopython recip bioconda github repositori biopython recip remov bioconda futur updat conda forg recip thank everyon,2,14,forge|availability,225,0.06222222222222222,0.48091185092926025
149,https://api.github.com/repos/grafana/grafana-docker/issues/149,issue,support docker secret databas password,hi docker allow make secret avail contain file environ variabl support possibl support set environ variabl databas password file done postgr offici contain postgr contain postgr password environ variabl compos file contain either password path secret file eg run secret postgr password,sound good idea support secret well aws credenti least sure well use docker secret vs way provid credenti secur manner actual offici docker librari imag make differ raw variabl one come secret file seem convent environ variabl end read valu file instead featur appreci moment made workaround someth gener great workaround though credit must go author gener script ad new script wrap secret script standard grafana script includ addit secret env flag command,6,14,password|availability|credential|security|authorise|scripting,121,0.11570247933884298,0.472495973110199
300,https://api.github.com/repos/spantaleev/matrix-docker-ansible-deploy/issues/300,issue,cento docker intern network need trust network firewalld,cento amongst minor problem docker ce instal chronyd instead ntpd user bee avail plain vm discov synaps cannot connect postgr contain docker intern network accord configur interfac docker firewalld truse zone,thank research sure help ad cento support worri docker ce avail cento need resort hack instal guess guess get solv upstream proper manner integr firewalld nice need mark docker interfac trust let see docker instal issu solv upstream refrain playbook fix someon patch playbook current situat though pleas go ahead use docker ce packag el docker repo dnf need flag chose contain notic docker python avail repo need ad pip instal pip sure anymor probabl sth remov depend ansibl file write case anybodi get redirect came across issu cento new fork seem server valid ad tri record work error add docker network interfac zone similar issu docker python cento docker python packag avail need instal python pip epel pip instal docker probabl better peopl instal cento ensur selinux disabl appli cento well instal docker manual follow guid note necessari complet disabl long mark docker network interfac trust step instal manual creat docker network manual order mark trust find docker network ids need mark docker network trust matrixmatrix coturn var ymlfatal matrix rotko net fail chang fals msg find request servic docker host alia podman docker work simplest case involv multipl contain cross contain network,6,15,trust|firewall|availability|hack|integrity|validate,234,0.0641025641025641,0.43897923827171326
9979,https://api.github.com/repos/bioconda/bioconda-recipes/issues/9979,pr,move pyvcf conda forg,cf conda forg stage recip x read guidelin bioconda x afaik recip directli relev biolog scienc otherwis pleas submit gener purpos conda forg x pr updat exist recip,particular reason move echo pyvcf seem clearli fit bioconda collectiion move disagre pr recip belong bioconda packag apach beam conda forg requir pyvcf build packag without default obvious happi add bioconda develop maintain recip conda forg good time ask anaconda avail default realli requir option depend vcf pars biolog specif task make lot sens keep pyvcf packag apach beam condit import pyvcf run time user instal librari need bioconda one thought move recip back forth bioconda conda forg major time sink sourc bug everyon project say lot user confus environ start behav strang due packag proven version issu requir pip instal apach beam side follow told equival packag need ad conda forg cc setup py file ping contribut technic site much want maintain apacha beam pkg fine except add peopl interest maintain conda forg pkg look apach beam stream vcf henc pyvcf depend cool function realiz conda forg bioconda discuss easier maintain bioconda understand need move echo bj rn suggest add lot maintain make conda forg pyvcf support easier happi add mani bioconda maintain conda forg packag need friendli nudg patrick sorri realiz hook anyth look conda forg pr creat pyvcf feedstock still need merg remov bioconda unfortun special conda forg permiss abl mayb bj rn help add peopl thread maintain thank packag avail conda forg readi merg patrick thank much work port conda forg follow much appreci,2,17,forge|availability,261,0.06513409961685823,0.41675958037376404
1751,https://api.github.com/repos/termux/termux-packages/issues/1751,issue,login git clone termux,whenev tri clone script termux ask usernam password provid proper usernam password said fatal authent fail plzz help,command tri clone command git clone locat script frm github locat sdcard simpli instal sey clone tri clone part repositori script git clone wrong whole repositori clone face problem face problem abl clone repo git ssh sdcard without problem even offici android guess problem rom git program provid usernam password say repositori found someth wrong post command type want help git ask user pass clone public repo git clone success clone repo command prompt enter user password access repo said possibl someth wrong rom spell tmvenom correctli correct whenev click enter last alphabet goe dissappear sound isol problem fix issu fresh termux instal nexu notic keyboard swiftkey phone preload reproduc problem problem xperia chines keyboard googl keyboard getwhen clone repo enter password clone ask credenti work fine privat repo authent expect probabl hard tell problem e enter becom backspac enter password field try keyboard app mayb still work consid open anoth issu far problem feel git problem correct privat repo tri differ keyboard app without success tri put login pass url still authent fail keyboard issu command pc work fine save github problem command git clone gener happen copi past someth last charact get truncat ask github usernam password face issu swift keyboard switch aosp keyboard ask credenti clone repo git clone ask usernam password issu git clone usernam github com pleas help solv check url correct common problem copi past url touch screen try type whole url hand without understand part mean url sensit typo miss part check repositori exist guarante url got somewher internet outdat internet perman check access right repositori,7,25,login|scripting|username|password|authentication|ssh|credential,286,0.08741258741258741,0.41486215591430664
108,https://api.github.com/repos/sameersbn/docker-gitlab/issues/108,issue,add ldap later,want add ldap integr first run setup contain need run clear data databas work product contain,use ldap think need gitlab setup add requir ldap configur paramet try safe unintend consequ rememb take back gitlab chang gitlab yml perman question ldap configur option avail via environ variabl edit ldap support easili done use configur option list howev edit add ldap configur choos gener rule thumb edit whenev want configur thing cannot configur use avail configur exampl configur usag redmin issu track go beyond edit hand terribl time upgrad gitlab gitlabhq releas new version everi month sinc need make sure updat config make requir chang everi upgrad great need run setup need run setup ok exampl paramet first setup second run equal ok thank answer cant seem configur gitlab ldap via ldap env var start gitlab docker contain src docker gitlab env list file look howev access gitlab login screen see ldap login tab imag gitlab gitlab ce ce docker version advic wrong,5,16,ldap|integrity|safe|availability|login,166,0.0963855421686747,0.4090757668018341
