id,favorite
"8021","38"
"29061","5"
"33412","37"
"33829",""
"39135","1"
"43199",""
"57384","1"
"70170",""
"72304",""
"78869","6"
"84096","17"
"84680","39"
"96945",""
"97137","25"
"102425","6"
"102778","0"
"112396","232"
"116415",""
"123902","0"
"126798","1"
"137212","68"
"140113","1"
"143523",""
"150167","29"
"153220","12"
"161160",""
"163113","2"
"178479","115"
"181341","16"
"182133","1"
"183830",""
"190376","2"
"190912","1"
"221149",""
"232584","2"
"232839",""
"233217","52"
"244283","4"
"248562","115"
"256899","1"
"267738","1"
"271090","2"
"271518","1"
"288289","1"
"288500","2"
"295163","1"
"295436","4"
"300334","4"
"303028",""
"304268","204"
"308609","4"
"309202",""
"311243","5"
"318781","1"
"319634","2"
"320355","1"
"320477","1"
"325637","2"
"338578","4"
"339004","13"
"339531",""
"340820","2"
"346225","4"
"347056","4"
"353010",""
"361231","3"
"363329",""
"367530","2"
"368792","1"
"372268","5"
"373518","5"
"376551","5"
"376561","13"
"377901","6"
"385907","4"
"390150","81"
"407990",""
"411037",""
"411331","23"
"415953","241"
"427046",""
"427821",""
"430755","5"
"437375","5"
"438508",""
"440463","18"
"443151","11"
"453925","2"
"472739","1"
"473566",""
"476640","1"
"480895","2"
"485023","4"
"494860","1"
"496651","45"
"510846",""
"517527","3"
"520255",""
"530972",""
"531096","11"
"537596","15"
"543896","5"
"545082","4"
"545667","11"
"547219","1"
"552982",""
"556670","1"
"561938","1"
"565531",""
"567482","4"
"568227","1"
"570450","6"
"571081","2"
"580686","1"
"581655","1"
"587357","9"
"592403","2"
"610896",""
"612121","3"
"622732","5"
"626043",""
"628416","48"
"636172","1"
"637496","1"
"646224","6"
"663397",""
"683885",""
"684081","8"
"687291","0"
"687787","4"
"691222",""
"696793","1"
"700476","2"
"705728","2"
"706856",""
"719556","3"
"719747",""
"723129",""
"729195","1"
"729203","1"
"733753","8"
"752890","3"
"754205",""
"756133",""
"759722","3"
"759800",""
"762459","6"
"770969",""
"785652","4"
"785973","175"
"797090","20"
"800172","1"
"804023","1"
"805153","0"
"805329",""
"806169",""
"808988",""
"810493","32"
"811590",""
"812275",""
"820261","1"
"825638","1"
"829522","1"
"836007",""
"836281","1"
"836520",""
"839051","1"
"839213",""
"840279","3"
"841446","2"
"842222","1"
"846957",""
"848205","0"
"848734","1"
"850497","2"
"851093",""
"851623",""
"852453","3"
"853332","3"
"859111","117"
"859218","3"
"862571",""
"865460","1"
"867751","8"
"868776","4"
"869255","1"
"869589","3"
"874903","5"
"875467","101"
"885005",""
"885810",""
"886397",""
"888346","0"
"889406","6"
"890935","27"
"900763","3"
"901251",""
"906210",""
"906402","158"
"908748","29"
"909979",""
"914069",""
"916061","3"
"920809","2"
"924968","3"
"925377","5"
"933483","1"
"934474",""
"935666",""
"937412","3"
"944679","1"
"948933",""
"949190","1"
"950885","2"
"951477","1"
"955399","4"
"955624","4"
"956657","3"
"964547",""
"967194",""
"968565","11"
"975054",""
"977321","1"
"979910","4"
"984644","3"
"986892","21"
"991703","3"
"992019","294"
"995035","1"
"995514","97"
"997304",""
"1000347","3"
"1001179","4"
"1003365",""
"1009766","0"
"1009996","3"
"1010356","1"
"1012363","6"
"1012792","5"
"1013032","16"
"1016372",""
"1019837",""
"1028388","1"
"1031558",""
"1032721","29"
"1033947","5"
"1037009","2"
"1037590","11"
"1044986","1"
"1045895","1"
"1051953","1"
"1061171","0"
"1069142","0"
"1075128","9"
"1079077",""
"1089600","5"
"1093202","0"
"1093817","2"
"1105913",""
"1107007","2"
"1114685",""
"1115739","1"
"1122324",""
"1130904","2"
"1132567","95"
"1135446","1"
"1139447",""
"1169123",""
"1170185","3"
"1175074",""
"1175352","7"
"1187949","11"
"1199802",""
"1202535",""
"1205135","96"
"1206494","2"
"1211333",""
"1217046",""
"1225633","3"
"1226083","5"
"1227478",""
"1233206","3"
"1234598",""
"1236481",""
"1238763","1"
"1240575","1"
"1244607","0"
"1244717","2"
"1247637",""
"1250319","1"
"1255083",""
"1258404","4"
"1264262","5"
"1265488","3"
"1269359","2"
"1269735",""
"1270703","15"
"1277378","1"
"1283982",""
"1284771","2"
"1287450",""
"1291584","3"
"1291978","2"
"1301297",""
"1303220","2"
"1305243",""
"1315833","1"
"1331257",""
"1340366","7"
"1349170",""
"1350432","1"
"1354803","4"
"1362115",""
"1363452","1"
"1365187","3"
"1374170","9"
"1376674","2"
"1381335",""
"1381965","2"
"1384968","10"
"1391643","4"
"1396375","0"
"1398556","1"
"1399505","10"
"1400023","1"
"1400255","3"
"1401248",""
"1413184","6"
"1417271","2"
"1422977","10"
"1423520","0"
"1423741","0"
"1429610","1"
"1431486","1"
"1433336","3"
"1440030","10"
"1441548","1"
"1443632","1"
"1449932",""
"1453085","2"
"1454021","23"
"1454519","2"
"1455856","4"
"1466709",""
"1473604","0"
"1473997",""
"1475061","1"
"1476963",""
"1488404","2"
"1492043",""
"1492762",""
"1497297","3"
"1497322","2"
"1498108","1"
"1499115",""
"1502465",""
"1503241",""
"1508314","3"
"1511674","23"
"1514112",""
"1519435","2"
"1524107","2"
"1531740","1"
"1540007","1"
"1541585","1"
"1546817",""
"1552330","4"
"1554799",""
"1554912","1"
"1554970",""
"1555476","1"
"1564446",""
"1569736",""
"1571999","1"
"1572813","6"
"1577081",""
"1577290","1"
"1580012","8"
"1581759",""
"1582115",""
"1582161","59"
"1582537",""
"1584177",""
"1589164",""
"1589216",""
"1589996","3"
"1593253",""
"1596187","3"
"1599012",""
"1599443",""
"1611365","1"
"1612191",""
"1612485","2"
"1613212","8"
"1615871","26"
"1622492",""
"1623865","2"
"1623924","1"
"1624137","1"
"1626549","27"
"1629958","4"
"1630712",""
"1633750","7"
"1638170","24"
"1644059","5"
"1645747","3"
"1647759","6"
"1650596","1"
"1660845",""
"1665736","3"
"1665963",""
"1666028",""
"1666052","170"
"1666866","1"
"1667215",""
"1671504",""
"1676513","7"
"1677465","5"
"1680190",""
"1689237","3"
"1694466","3"
"1698864",""
"1709441","11"
"1710423","3"
"1715296","1"
"1715941",""
"1722984","1"
"1725863","10"
"1730019",""
"1731966","25"
"1734558",""
"1745603","1"
"1752621",""
"1754144",""
"1754215","1"
"1754915",""
"1755757","2"
"1756801","4"
"1760785","9"
"1761365",""
"1761482","3"
"1762391",""
"1762453","3"
"1764064",""
"1769015","4"
"1782528",""
"1785199","3"
"1785555","8"
"1786325","4"
"1798829",""
"1803254","2"
"1807432","1"
"1812891","71"
"1814048","4"
"1816141","2"
"1819228",""
"1820995",""
"1821178",""
"1821545","3"
"1826075",""
"1828388",""
"1828775","85"
"1832640",""
"1850445","1"
"1856552","7"
"1878052","1"
"1880929","5"
"1888503","1"
"1890542","1"
"1895185","21"
"1896715","5"
"1900179",""
"1905216",""
"1907111",""
"1907590",""
"1912785","2"
