postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
20911,https://api.github.com/repos/magento/magento2/issues/20911,issue,admin login password forgot password page wrong css use make vertial ale middl,admin login password forgot password page wrong css use make vertial ale middl precondit magento php step reproduc open admin login page click forgot password link inspect reload captcha button view css button vertial align middl use work float expect result actual result,hi thank report help us process issu pleas make sure provid follow inform x summari issu x inform environ x step reproduc x expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label add label verif complet make sure automat system confirm report ad backlog hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point x verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear x verifi issu meaning descript provid enough inform reproduc issu report valid add label issu x add label ticket indic compon relat x verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label add label verif complet make sure automat system confirm report ad backlog give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour mm white check mark confirm verifi issu confirm help us acknowledg process report white check mark confirm thank verifi issu base provid inform intern ticket creat issu avail automat unassign contributor maintain claim issu continu reclaim continu work reassign ticket hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas,8,28,login|password|forge|captcha|validate|scripting|availability|signing,458,0.0611353711790393,0.6326873302459717
21862,https://api.github.com/repos/magento/magento2/issues/21862,issue,provid set allow previous use password use chang password,import repositori intend magento technic issu enter featur request project stakehold monitor manag request featur request enter use form move forum field mark requir pleas remov templat descript current magento prevent use old password chang password code state least previou password block arbitrari lead insecur practic increment password write password paper guidanc nation cyber secur centr explicitli advis poor practic option allow old password ad magento expect behavior option allow old password ad store configur section benefit elimin arbitrari password secur requir guidanc nation cyber secur centr explicitli advis poor practic addit inform annoy,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point x verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear x verifi issu meaning descript provid enough inform reproduc issu report valid add label issu x add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label next step avail case member commun maintain add label verif complet make sure automat system confirm report ad backlog hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point x verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear x verifi issu meaning descript provid enough inform reproduc issu report valid add label issu x add label ticket indic compon relat x verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process x verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label next step avail case member commun maintain add label verif complet make sure automat system confirm report ad backlog agre poor practic give poor secur anoth problem user make ux wors gain secur hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label quot pr enforc reus old password came pci dss rule allow individu submit new password passphras last four password passphras think thank report close issu due inact updat pleas reopen issu,7,38,password|scripting|insecure|security|validate|availability|pci dss,587,0.06473594548551959,0.5579823851585388
24809,https://api.github.com/repos/magento/magento2/issues/24809,issue,invis recaptcha replac default captcha forgotten password form,enabl invis recaptcha default magneto recaptcha replac forgotten password form captcha present user pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc magento v recaptcha enabl frontend step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc add api key v invis recaptcha enabl recaptcha front end page expect result default captcha replac v recaptcha forgotten password form actual result captcha display form screenshot forgot,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes join magento commun engin ask question channel give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour verifi test instanc seem recaptcha modul enabl hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process add label verif complet make sure automat system confirm report ad backlog give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour white check mark confirm thank verifi issu base provid inform intern ticket creat issu avail automat unassign contributor maintain claim issu continu reclaim continu work reassign ticket hi want work ticket believ issu invis recaptcha replac default captcha differ modul turn appear frontend enough disabl default captcha store configur custom custom configur captcha forgot password form look believ close hi thank work issu look issu alreadi verifi confirm want valid one time pleas go though follow instruct add edit label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process x issu relev reproduc feel free close join magento commun engin ask question channel hi want work ticket believ issu invis recaptcha replac default captcha differ modul turn appear frontend enough disabl default captcha store configur custom custom configur captcha forgot password form look believ close case think offici magento doc need updat clearli state ce user standard magento captcha enabl recaptcha overrid enabl magento instanc without issu nowher guid say remov default captcha clearli either document incorrect modul work correctli agre devdoc mention mean one time white check mark confirm thank verifi issu base provid inform intern ticket creat issu avail automat unassign contributor maintain claim issu continu reclaim continu work reassign ticket give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour hi thank work issu look issu alreadi verifi confirm want valid one time pleas go though follow instruct add edit label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process issu relev reproduc feel free close join magento commun engin ask question channel hi thank work issu look issu alreadi verifi confirm want valid one time pleas go though follow instruct add edit label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process issu relev reproduc feel free close join magento commun engin ask question channel fyi hello fyi coupl intern discuss clarif modul function owner confirm mistak devdoc page two captcha suppos independ implement enabl fix dev doc,7,52,captcha|forge|password|validate|scripting|availability|signing,703,0.07396870554765292,0.5532793998718262
28235,https://api.github.com/repos/magento/magento2/issues/28235,issue,reset custom password v custom resetpassword,pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc magento ce apach aws step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc creat custom password reset token invok v custom resetpassword new password expect result updat custom password given newpassword key actual result password token mismatch reset try updat gener token verifi token respons get true still v custom resetpassword show error,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes join magento commun engin ask question channel give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour need code access gener passwordreset token abl find api gener passwordreset token anyon share gener token resetpasswordtoken userdata generateresetpasswordlinktoken new magento user helper data verifi token v custom customerid password resetlinktoken resetpasswordlinktoken respons get true still v custom resetpassword show error hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process add label verif complet make sure automat system confirm report ad backlog give develop instanc hi thank request work magento develop instanc test issu p instanc abl reset password use api url action put endpoint author bearer access token content type applic json pleas find attach test issu p develop instanc issu reproduc henc close ticket,4,24,password|validate|scripting|authorise,362,0.06629834254143646,0.5483943819999695
19071,https://api.github.com/repos/magento/magento2/issues/19071,issue,password strength indic show password even password enter,password strength indic show password time password enter precondit anywher password strength indic use custom password set password guessabl riski return zxcvbnscore see e g password enter actual password step reproduc account regist page type password password field expect result expect result like weak password messag actual result messag display password scenario issu javascript handl return valu xcsvbn password differ empti password current run magento v,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu version start develop branch exampl develop detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label add label verif complet make sure automat system confirm report ad backlog give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour hi thank request work magento develop instanc give instanc hi thank request work magento instanc hi magento access password instanc termin hour sorri forgot add current custom password configur use give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour thank verifi issu base provid inform intern ticket creat fix prs develop,4,28,password|scripting|validate|forge,338,0.08284023668639054,0.5457538962364197
27954,https://api.github.com/repos/magento/magento2/issues/27954,issue,creat reset user password user address valid,pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc magento creat user address special valid add kind valid address field limit length citi name step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc try restor forgotten password go url custom account createpassword id id token token expect result forgot password function allow user reset password actual result user see error messag password reset link expir mislead problem class method run save custom object disabl address valid process make error messag clear user,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes join magento commun engin ask question channel take one hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process add label verif complet make sure automat system confirm report ad backlog white check mark confirm thank verifi issu base provid inform intern ticket creat issu avail automat unassign contributor maintain claim issu continu reclaim continu work reassign ticket hello pleas provid detail descript add kind valid address field limit length citi name clear exactli done,6,22,password|validate|forge|scripting|availability|signing,327,0.0672782874617737,0.5308471918106079
18901,https://api.github.com/repos/magento/magento2/issues/18901,issue,forgot password form avail custom log,pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc issu reproduc magento x version step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc custom login page click forgot password link land forgot password page click custom login link provid correct custom credenti login custom expect result one even intent hit magento instanc com custom account forgotpassword custom login redirect custom dashboard instead open forgot password page actual result land custom forgot password page,hi thank report help us process issu pleas make sure provid follow inform x summari issu x inform environ x step reproduc x expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu version start develop branch exampl develop detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc x yes squashtoberfest thank verifi issu base provid inform intern ticket creat mageconf thank join pleas accept team invit self assign issu hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas,6,21,forge|password|availability|login|credential|signing,218,0.0963302752293578,0.5196227431297302
28133,https://api.github.com/repos/magento/magento2/issues/28133,issue,reset password send mail click link expir,pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc use magento p step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc send reset password email admin panel user receiv email click link show password reset link expir use forgot password link websit still show time show password reset link expir sometim show invalid form key pleas refresh page expect result email lik work custom reset password use forgot password link send email custom reset password actual result email link show password reset link expir use forgot password link websit still show time show password reset link expir sometim show invalid form key pleas refresh page,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes join magento commun engin ask question channel give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour email mention environ receiv hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process add label verif complet make sure automat system confirm report ad backlog hi check issu p abl reproduc issu abl reset password reset link send websit well admin,4,23,password|forge|validate|scripting,341,0.06744868035190615,0.5003446936607361
19060,https://api.github.com/repos/magento/magento2/issues/19060,issue,user creat admin cannot login,precondit provid exact magento version exampl import inform environ bug reproduc magento beta php maria db step reproduc creat user admin area without password user try login frontend expect result succes login option creat password first time user actual result user cannot login get blank page server log show error plain user password tri wrong idea notic stderr php fatal error uncaught typeerror explod expect paramet string null given vendor magento framework encrypt encryptor php stack trace vendor magento framework encrypt encryptor php explod null vendor magento framework encrypt encryptor php magento framework encrypt encryptor explodepasswordhash null vendor magento framework encrypt encryptor php magento framework encrypt encryptor isvalidhash plain password null vendor magento modul custom model authent php magento framework encrypt encryptor validatehash plain password null vendor magento modul custom model accountmanag php magento custom model authent authent plain password vendor magento framework encrypt encryptor php line,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu version start develop branch exampl develop detail pleas review magento contributor document confirm abl reproduc issu vanilla magento instanc follow step reproduc yes give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour pleas confirm abl reproduc issu instanc give develop instanc hi thank request work magento develop instanc hi magento access password instanc termin hour confirm issu reproduc magento develop instanc hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process verifi issu reproduc branch detail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label add label verif complet make sure automat system confirm report ad backlog thank verifi issu unfortun enough inform provid creat intern ticket pleas consid ad follow add label ticket base verif result uncertain follow best guess requir inform ad pleas add label thank thank verifi issu base provid inform intern ticket creat hi alreadi ad pr prevent blank page except custom password sure expect result side think success login custom without password good idea custom alway reset password forgot password link strong vision implement pleas share thank hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas hi thank report issu fix magento magento develop branch relat commit fix avail upcom releas,9,50,login|password|encrypt|hash|validate|authentication|scripting|forge|availability,491,0.10183299389002037,0.4828563332557678
28609,https://api.github.com/repos/magento/magento2/issues/28609,issue,secur refer link header inject xss script,pleas review guidelin ad new issu mark requir pleas remov templat precondit provid exact magento version exampl import inform environ bug reproduc magento firefox browser applic secur test softwar burp suit step reproduc import provid clear step reproduc bug provid support without clear instruct reproduc recommend firefox test go set search proxi proxi configur burp suit creat new temporari project configur proxi option configur done go web page click intercept go login function click regist button observ request click regist button burp proxi chang valu highlight xss script click intercept forward expect result refer link header inject xss script actual result vulner found refer header regist page provid assess issu report inform help confirm issu triag process sever affect critic data function leav user without workaround sever affect critic data function forc user employ workaround sever affect non critic data function forc user employ workaround sever affect non critic data function forc user employ workaround x sever affect aesthet profession look feel qualiti usabl,hi thank report help us process issu pleas make sure provid follow inform summari issu inform environ step reproduc expect actual result pleas make sure issu reproduc vanilla magento instanc follow step reproduc deploy vanilla magento instanc environ pleas add comment issu upcom x releas detail pleas review magento contributor document pleas add comment assign join magento commun engin ask question channel hi thank work issu order make sure issu enough inform readi develop pleas read check follow instruct point verifi issu requir inform precondit step reproduc expect result actual result detailsif issu valid descript label ad issu automat pleas edit issu descript need label appear verifi issu meaning descript provid enough inform reproduc issu report valid add label issu add label ticket indic compon relat verifi issu reproduc branchdetail add comment deploy test instanc magento infrastructur issu reproduc branch pleas add label issu reproduc add comment issu reproduc close issu stop verif process add label verif complet make sure automat system confirm report ad backlog,9,21,security|inject|xss|scripting|burp|login|vulnerability|signing|validate,338,0.0621301775147929,0.4596024453639984
