postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
297,https://api.github.com/repos/magus/react-native-facebook-login/issues/297,issue,invalid key hash key hash match store key hash,gener key hash android keystor follow facebook implement lib need receiv error messag problem key hash key hash gener save facebook develop app configur make test put new key hash facebook develop key hash tri abl login success doubt wtf go key hash pleas need help,add key hash messag error app set dagger problem key hash key hash gener save facebook develop app configur key hash add facebook app set key hash problem modtaweelz talk key facebook mode resolv plz post want login work without instal facebook app work facebook app instal due error hash key match follow step launch app try log facebook dialog open tell key found facebook develop consol show hash key note hash key put facebook develop consol first gener api key remov hash key new save done anyon download app publish earlier use keystor log facebook mean step copi key hash error show replac one facebook app still show error make test put new key hash facebook develop key hash tri abl login success problem key hash key hash gener save facebook develop app configur continu hash key facebook develop product secur fail need solv firebas facebook login hash key issu hi guy regard colombia gonna ask problem today kick head work firebas facebook auth react nativ app problem key hash thought link help everyth result issu reason need stay activ subscrib anybodi find solut pleas reach email cperez try solv problem solv solut avoid close facebook session develop product problem desapeear think guy understand bug show hashkey see detail facebook develop hash key add platform put key field save problem authent configur rn authent return error messag contain key hash match store key hash key hash facebook develop return error messag key hash mean differ key hash set fb develop thing differ mathemat binari error password enter keystor password hit enter work give warn work liter laugh problem empti cash app data phone make sure follow whole procedur necessari add key mention error hash key field interfac facebook developp lib anymor try clean project month pleas note two type key hash exist debug releas debug key hash use releas key hash use run see debug key hash run releas key hash releas key alia alia gradl properti case releas key path path releas keystor project see gradl properti file tri everi possibl solut luck download hash key extractor app copi past hash key use app invalid hash key error hash code chang try delet app thank bro solut help thank close error someon explain applic provid gener differ keyhash one gener consol gener keyhash apk alreadi sign follow command give differ keyhash one gener keyhash gener applic help problem facebook know differ point key hash uniqu devic someon confirm natur debug environ solv problem check answer answer help rate answer stackoverflow thankyou read first sha keystor file keytool list v keystor keystor file name jks alia key copi sha valu clip board cd ea c c fb fa b e dd open convert sha valu base facebook requir gener hash copi key hash facebook app refer thank work capit look small l heck solv problem first sha keystor file keytool list v keystor keystor file name jks alia key copi sha valu clip board cd ea c c fb fa b e dd open convert sha valu base facebook requir gener hash copi key hash facebook app refer mine android studio slight differ approach sha valu android studio click gradl click sign report copi went websit past sha thanx man thank anyon know app work key hash issu today look error openssl tool exactli issu ruin hour solut password gener hash key man save work extend answer anyon wonder new hash app complain publish come face issu realiz gener android app bundl app sign manag googl play consol sha fingerprint play consol app sign gener base hash work thank much work recent found hasher app help extract keyhash sha googl play store consol vice versa solv problem first sha keystor file keytool list v keystor keystor file name jks alia key copi sha valu clip board cd ea c c fb fa b e dd open convert sha valu base facebook requir gener hash copi key hash facebook app refer solv mine android studio slight differ approach sha valu android studio click gradl click sign report copi sha went websit past sha thanx man thank much error found two way solv add key hash error messag xxxxxxxxx app key hash facebook develop save rerun app find sha configur cope keytool list printcert jarfil apk name apk termin convert base use copi key hash facebook develop account hash rerun app work tri everi possibl solut luck download hash key extractor app copi past hash key use app invalid hash key error thank man work solv problem first sha keystor file keytool list v keystor keystor file name jks alia key copi sha valu clip board cd ea c c fb fa b e dd open convert sha valu base facebook requir gener hash copi key hash facebook app refer googl play sign app bundl releas gener new hash key sign key sha googl play store solv problem first sha keystor file keytool list v keystor keystor file name jks alia key copi sha valu clip board cd ea c c fb fa b e dd open convert sha valu base facebook requir gener hash copi key hash facebook app refer solut work thank solut help problem tri everi possibl solut luck download hash key extractor app copi past hash key use app invalid hash key error thank bro googl play sign app bundl releas gener new hash key sign key sha googl play store elabor pleas face problem hash match facebook login error rid site simpli shell command output,10,128,validate|hash|login|security|authentication|password|signing|sha|openssl|fingerprint,975,0.13128205128205128,0.8992936015129089
85,https://api.github.com/repos/Squirrel/Squirrel.Mac/issues/85,pr,protect symlink attack,protect coupl possibl attack shipit escal privileg instal attack give updat url shipit includ symlink rewrit symlink point malici updat bundl signatur attack point shipit malici bundl writabl parent process set paramet instal fail caus shipit restor malici bundl target merg fix address case updat backup bundl contain symlink within see x clear begin new instal x creat use base fulli resolv prevent symlink appear templat path x copi propos updat take ownership instal x verifi ownership writabl shipit uid x verifi ownership x remov paramet parent process x elimin unnecessari verif step x refactor sqrlinstallerspec write shipit prefer test,readi review squirrel assign action need think code signatur target bundl read fresh launch shipit bundl target url chang launch check updat meet criteria previou bundl url need think case target alreadi move backup though sure handl perhap want predic instal abil say instal bundl bundl criteria met bundl version number user chang bundl instal job enqueu run stomp chang agre file issu overload code signatur tabl content bundl logic code signatur specif ignor portion bundl localis gener one seen expand resourc rule cover entir bundl think copi updat bundl provid state launch avoid perform check handl case partial copi across volum still consid code sign valid actual miss compon think code signatur target bundl read fresh launch shipit bundl target url chang launch check updat meet criteria previou bundl url issu user chang bundl instal job enqueu run stomp chang read code signatur instal actual begin parent termin overload code signatur tabl content bundl logic poorli express code right perform check case target exist unless alreadi instal suppos reus previou logic check whether sourc still exist think copi updat bundl provid state launch avoid perform check handl case partial copi across volum still consid code sign valid actual miss compon sure mean alreadi copi updat bundl instal state bump think code signatur target bundl read fresh launch shipit bundl target url chang launch check updat meet criteria previou bundl url issu current clear subsequ launch shipit applic previou instal target design requir clear concern code run leav stale data behind given deriv launch avoid cach persist storag gener fresh launch think copi chown updat bundl provid state launch avoid perform check handl case partial copi across volum still consid code sign valid actual miss compon sure mean alreadi copi updat bundl instal state suggest remov logic take copi ownership url time launch error copi complet rather tri check whether took whole copi subsequ launch deriv launch make vagu uneasi secur standpoint troubl think concret attack gist worri though someth attack hijack updat bundl replac someth match code signatur shipit move target bundl elsewher attack somehow manipul shipit forget target bundl move point spoof bundl instead code signatur match malici updat shipit instal malici updat final target locat possibl suggest remov logic take copi ownership url time launch tbh sound basic elimin explicit state machin shipit replac step try thing x fail check see whether alreadi done probabl deserv separ pr though problem pr eleg bump gotta ship squirrel gonna next week pleas feel free branch think fall somewher,11,37,protect|attack|privilege|malicious|signing|signature|validate|security|hijacking|forge|spoof,523,0.07074569789674952,0.8280978798866272
76,https://api.github.com/repos/Squirrel/Squirrel.Mac/issues/76,pr,improv bundl replac secur use target design requir,left argument requir place addit requir verifi ad check updat match target design requir without root run shipit use replac applic bundl codesign valid applic bundl fix x look symlink attack x test applic design requir x test permiss chang,light rail need oss yep otherwis root shipit exploit ad mileston anyth help look possibl symlink attack reckon user client pass path root daemon contain symlink allow time check time attack user process rewrit symlink ident updat verifi instal chang permiss updat bundl recurs part key verifi ident attack suffici access rewrit symlink lie within bundl level access system alreadi compromis howev look add anoth layer indirect write symlink symlink effect mayb back target bundl asap updat process prior verif step updat backup bundl permiss shipit write access delet symlink point outsid bundl resolv copi target place repeat step option seem kinda shitti though consid symlink insid bundl interest attack vector right take ownership entir bundl tree verifi nullifi attack howev look add anoth layer indirect write symlink symlink effect say risk app bundl includ symlink outsid interestingli app store submiss verif actual verifi symlink built similar check app static analys think symlink path bundl user process pass symlink ownership symlink touch recurs ownership chang run shipit think solut first copi propos updat directori whose path wholli own root admin user interfer updat assum ownership bundl verifi andymatuschak sparkl suggest use chang work directori updat bundl use rel path point forward prevent parent folder point least copi bundl own directori maximum secur guess make sens shipit relaunch though work directori differ need absolut path back reli ownership directori bump remain action merg current issu fix target url client modifi abus replac applic malici applic meet design requir target non root want replac myapp malici copi permiss write construct maliciousapp construct updat maliciousapp bundl fine submit updat request root process root process copi design requir maliciousapp assum ownership updat maliciousapp clear quarantin back maliciousapp non root somehow chang targeturl state point myapp root process resum start remov myapp move maliciousapp place need merg master think readi go cat dog tiger,7,24,security|signing|validate|attack|exploit|attack vector|malicious,358,0.0670391061452514,0.5132033228874207
7392,https://api.github.com/repos/expo/expo/issues/7392,issue,doc app sign step work promis,describ wrong miss document provid link relat document step suppos upload pem file googl punish error upload key deploy key secur reason need differ pleas differ upload certif turn step step gener ident pem file even run command googl suggest keytool export rfc keystor upload keystor jks alia upload file upload certif pem pem key step never success,step gener pem file upload pem file step instead go manual run hit error upload pem file step step error googl say upload key deploy key secur reason need differ pleas differ upload certif misphras step step gener pem file googl complain instead go manual run hit error sorri relev unwil realli interest document second case first one oh explain essenti exact step behind scene test command remov variabl clearli indic issu handl error sorri previou comment made sens creat new app botch previou one rerun asap edit rerun clean googl play consol app right neither old new clean reconfigur want mess await repli googl develop team reset upload key certif store old one figur upload key new one hi import step make sure old keystor credenti safe one backup step suggest move outsid project directori option provid upload keystor like safe worst case upload keystor need reset go check hash correct setup differ option recomend match result someth differ describ pleas post differ help diagnos caus problem reset keystor need provid googl team file gener use know happen sure follow step correct order especi part thank repli outcom commandlin show app sign certif wrong googl play consol happen choos yes app sign googl play enabl succes want expo put upload key googl play consol chose test take pem file creat run take result pem file compar ident edit read difficult remov thing clarifi later tell app sign googl play enabl succes happili continu want new clean app googl play consol chang expo go quit hassl alreadi run alreadi run clear credenti previous go check hash correct setup differ option recomend match result check specif valu ident valu ident app sign certif differ upload certif confirm neither equal app sign certif googl play upload certif googl play return valu x say upload certif spit app sign certif give x hash must app sign certif accord cmd output regardless howev entir topic given new avenu pursu thank regardless complet besid point issu document impli pem file gener two separ step process must differ run step differ keystor mayb work assumpt app sign key expo server true anymor clear credenti begin document impli pem file gener two separ step process must differ keystor contain privat public key pair case pem file public key mean extract keystor two differ method repeat run point data show appli first question ask app sign enabl case answer yes quit creator keystor contain privat public key pair case pem file public key mean extract keystor two differ method yes think tool creat brand new app googl play consol run altern step ran tool differ keystor googl want differ pem file step brand new app run command new app enabl default anyth want recov previou app run build finish sent pem file support okay leav maintain document step okay separ issu app thank clarifi recov previou app,7,36,signing|security|certificate|credential|safe|hash|public key,544,0.0661764705882353,0.46744757890701294
3265,https://api.github.com/repos/expo/expo/issues/3265,issue,lost certif,upload apk sign upload certif must certif upload certif fingerprint sinc expo store keystor server retriev keystor account tri chang slug call expo fetch android keystor seem find one right credenti tri hour sort want updat previou app want releas new app,thank enrol app sign googl play increas secur key use sign app apk make possibl separ upload key sign app bundl upload googl play use separ upload key request upload key reset key ever lost compromis opt app sign googl play lose app sign key lose abil updat app know run issu first place look sourc control slug never chang anybodi issu enrol app sign googl play error fortun still recov updat app process take week want expedit process make sure slug correct app json keystor store somewher safe futur run command gener jks file expo fetch android keystor run command keytool export rfc alia youralia file upload certif pem keystor yourslug jks send result pem file googl play brief descript respond within hour pem file speed process go backward forward configur requir expo side case new upload certif take hour becom activ messag receiv said receiv request reset upload key x new upload key becom valid jan gmt new upload key becom valid upload new apk,8,20,certificate|signing|fingerprint|credential|security|safe|scripting|validate,212,0.09433962264150944,0.4450289309024811
1394,https://api.github.com/repos/expo/expo/issues/1394,issue,android keystor incorrect password,download android keystor via consol print necessari credenti howev sign system keep say password incorrect doubt alia one print decod base sinc base encod string password seem incorrect one encrypt encod access thank much,hi tell test pain slow process rebuild apk expo system upload download keystor tri differ paramet upload keystor googl play tri upload app alreadi publish without expo second question app publish via expo keystor choos build android consol prompt choos use expo credenti use keystor sinc first option work chose retriev keystor use go second option use credenti given consol right sign credenti given sigin system keep say hm sorri sound problem past output tri upload keystor well signif line sure there much inform anyway main issu fail sign apk given put credenti print consol fetch keystor thank adam process output line line one output build system error happen abl keystor sign apk past build log url build one mani build incorrect password issu updat issu hi sorri ping coupl peopl intern take look build confirm understand order correctli ran build project calma let expo gener keystor project ran save output calma upload keystor credenti saw behavior happen try follow instal java comput alreadi make sure command line program avail number fetch keystor credenti project run substitut valu angl bracket appropri fail try run build project post build log succe try run calma upload keystor file redownload great post back let know whether understand tri correct happen tri step suggest thank hi still issu pleas repli back reopen thank hi similar issu exp build android chose option let expo handl credenti upload googl play tri updat new build version apk googl play time exp build android expo ask option tri upload apk googl play googl play say keystor hash valu differ confus expo say handl credenti keystor updat expo time tri exp build android c put keystor file still confus password alia exp fetch android keystor thank put path jks file download expo fetch copi past inform got expo fetch keystor password key alia key password got messag even though copi past inform expo build unabl find exist exp instanc directori start new one,8,27,password|credential|signing|decode|encode|encrypt|availability|hash,363,0.0743801652892562,0.4009403884410858
725,https://api.github.com/repos/ChatSecure/ChatSecure-iOS/issues/725,issue,handl invalid omemo bundl better invalid signatur devic key,somehow possibl publish invalid bundl good know peopl troubl pars need x figur key mess x show error peopl key mess x automat republish new key bundl mess,know fail invalid bundl happen right sometim fail us fetch bundl devic id time fail get chain key sure session cipher c caus signalsessionciph encryptdata return nil otromemosignalcoordin encryptandsendmessag return nil exampl prekey bundl fail think bfcdb pleas push fix master releas good wait less time convers send omemo messag chatsecur probabl cherri pick bfcdb b b c e e e eb master push build tomorrow awesom look today thank ummmmm seem work use ejabb server ran xcode debugg definit much better job exchang key fail place fail client receiv end omemomodul didreceivemessag otromemosignalcoordin processkeydata otraccountsignalencryptionmanag decryptfromaddress signalsessionciph decryptciphertext return nil session cipher c session cipher decrypt pre key signal messag result session cipher c session cipher decrypt record signal messag result cannot find valid session case someth funki happen server initi account talker prosodi result quit test least alway see result key success exchang messag receiv process issu case relev start scratch git clone master git checkout commit referenc bfcdb b aa f bc b db e figur need instal carthag carthag updat possibl someth play well build scratch master check commit see necessarili problem messag encrypt anoth key omemo messag contain mani parallel session one devic even group chat session initi one side guess see messag sent stale key mon apr afriedmanglaci wrote ummmmm seem work use ejabb server ran xcode debugg definit much better job exchang key fail place fail client receiv end omemomodul didreceivemessag otromemosignalcoordin processkeydata otraccountsignalencryptionmanag decryptfromaddress signalsessionciph decryptciphertext return nil session cipher c session cipher decrypt pre key signal messag result session cipher c session cipher decrypt record signal messag result cannot find valid session case someth funki happen server initi account talker prosodi result issu case relev start scratch git clone master git checkout commit referenc bfcdb figur need instal carthag carthag updat possibl someth play well build scratch master check commit receiv mention repli email directli view github mute thread mani test today success receiv one omemo messag happen repetit creat new user multipl time try rule variou possibl issu use two ios devic test tri initi side multipl time oh far stale key time look profil user devic everi test sever time shown one omemo key one user key appear match refer messag sent stale key stale key show profil right ios mon apr afriedmanglaci notificationswrot oh far stale key time look profil user devic shown one omemo key one user key appear match refer messag sent stale key stale key show profil right receiv mention repli email directli view github mute thread lol sorri iphon ios start understand omemo spec bear look side publish bundl iq look devicelist get screw instead devic ad exist list appear overwrit list mayb receiv list send new one log messag ejabb log two new user second apart add space show node found node found back comment yesterday fail client receiv messag signalprotocolc session cipher c session cipher decrypt state signal messag say session uniniti give error attempt verifi messag mac bad mac signal messag verifi mac never end decrypt messag think session wonder seem try creat one probabl ignor confus even think session see creat session send messag first receiv messag devic without sent see session creat trace chatsecur debugg either whether send first receiv first log log still receiv alway get bad mac oh issu devicelist think separ bundl corrupt think report bundl problem upstream libsign protocol c realli figur work nondeterminist session start receiv first signalprekeymessag construct side pars publish bundl start session sender side wonder issu see relat chang made guess point thread wrong forum see wait see respond libsign protocol c thread thank idea thought look fix yet know follow connect complet new differ issu friend switch jabber de monal unencrypt otr chatsecur log first time jabber de account success sent first omemo messag jabber de convers omemo answer result altern messag chatsecur tell sent omemo messag client seem support find inform convers im omemo obvious come convers convers show omemo key contact compar fingerprint find key mine chatsecur access chatsecur devic question place go wrong convers pick wrong key chatsecur recogn omemo messag handl key exchang well try omemo chat us advic edit suggest bug chatsecur besid import point switch monal meanwhil offlin avoid interfer check solv problem moment report back edit solv problem disabl delet monal avoid interferr chatsecur monal use accound omemo one devic work cs omemo work immedi possibl fix,8,64,validate|signing|signature|cipher|encrypt|crypt|security|fingerprint,772,0.08290155440414508,0.35810554027557373
892,https://api.github.com/repos/expo/expo/issues/892,issue,sha fingerprint obtain android apk differ fingerprint observ product,issu android standalon app believ abl isol issu keyhash use function obtain sha fingerprint debug realiz key appear consol differ key use sign apk ad fingerprint observ googl map android oauth credenti api start work depth discuss familiar keystor work android seem googl play accept apk multipl signatur rule possibl anoth signatur alia someth ran termin see come anyth jks file receiv signatur apk file mayb fingerprint observ expo edit first built project select ask,add littl color releas manag app sign googl play consol app sign certif upload certif upload certif retriev need app sign certif configur facebook googl api hi abl repro recent sdk believ sinc fix still see behavior let know try figur close issu inact thank hi react nativ map work apk download play store download deriv apk ran keytool saw owner issuer field empti wherea upload apk owner issuer app packag name packag name give googl api dashboard product app map start work guid set android standalon app upgrad sdk solv problem close issu thank,8,21,sha|fingerprint|hash|signing|oauth|credential|signature|certificate,180,0.11666666666666667,0.350325345993042
317,https://api.github.com/repos/magus/react-native-facebook-login/issues/317,issue,devic alway gener new key hash try facebook login,depend react alpha react nativ react nativ facebook login hi problem user want login regist facebook account user success login facebook show messag invalid key hash match store key hash configur app ket hash case alreadi happen im alway add new key hash facebook develop consol dont understand key hash alway chang even though im phone test code facebook ever experienc case thank,,3,11,hash|login|validate,73,0.1506849315068493,0.3423841595649719
6153,https://api.github.com/repos/expo/expo/issues/6153,issue,googl auth document clear use googl sign,describ wrong miss document provid link relat document page end section deploy standalon app android sentenc note enabl googl play app sign servic need grab app sign certif product rather upload certif return expo fetch android hash grab signatur play consol app releas manag app sign go api dashboard credenti ad signatur exist credenti last part complet unclear go api dashboard credenti ad signatur exist credenti add signatur exist credenti one credenti servic account key type pleas clarifi sentenc explain done suggest creat new credenti type suggest edit exist servic account key add signatur thank michal,build expo project expo cli key secret particular build upload secur cert ios android app section firebas thank mention use firebas facebook work fine expo standalon believ document googl broken android googl sign build expo per document right need upload expo key secret lot question unclear exampl valu app json config googlesignin certificatehash expo hash googl hash thank sorri assum use googl sign modul use firebas googl sign secret go onto develop consol although necessari web someon correct wrong thank correct oauth api credenti develop consol per expo document still work nativ app work expo app still multipl answer answer mention valu certificatehash app json ever resolv tri figur app json googl login standalon android use play app sign servic note enabl googl play app sign servic need grab app sign certif product rather upload certif return grab signatur play consol app releas manag app sign go api dashboard credenti ad signatur exist credenti word signatur certif hash,8,46,signing|certificate|hash|signature|credential|security|oauth|login,262,0.17557251908396945,0.31791427731513977
