Topic ID,Top Words,Category,Sub-Category,Specifics
TOPIC 0, api authent token request app oauth googl applic facebook use ,Access Control,Tokens,
TOPIC 1, ip address time number nonc attempt node.j bundl block nodej ,Software Vulnerabilities,Network Exploits,DDOS
TOPIC 2, sql mysql queri inject databa statement pdo prepar data insert ,Software Vulnerabilities,Network Exploits,SQL Injection
TOPIC 3, password hash salt store md5 databa function use gener algorithm ,Data Security,Password/Data Storage,Password Hashing
TOPIC 4, laravel authent symfoni control method custom user rout creat class ,Secure Development,Libraries/Configuration,Web Frameworks
TOPIC 5, key public signatur privat sign rsa gener openssl creat saml ,Cryptography,Encryption,Public/Private Key
TOPIC 6, encod string decod ldap charact base64 php java c# json ,Cryptography,Encoding,
TOPIC 7, file php script access server wordpress directori upload run ssh ,Network Security,File Transfer,
TOPIC 8, url codeignit input xss html sanit data filter escap user ,Software Vulnerabilities,Network Exploits,XSS Prevention
TOPIC 9, encrypt decrypt php key data use ae iv mcrypt pad ,Cryptography,Encryption,
TOPIC 10, secur user use php make need want data know server ,Secure Development,Implementation,General Security Discussion
TOPIC 11, login password user usernam page log databa redirect php check ,Access Control,Authentication,
TOPIC 12, javascript page html imag browser js tag script php content ,Secure Development,Implementation,Web Page Implementation
TOPIC 13, server certif ssl connect curl http php client error use ,Network Security,Digital Certificates,
TOPIC 14, php code work tri use function error problem return follow ,Secure Development,Testing,
TOPIC 15, cooki session user id store log page token browser login ,Access Control,Tokens,
TOPIC 16, form valid ajax submit email send field post jqueri data ,Software Vulnerabilities,Network Exploits,Form Validation
