postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
571,https://api.github.com/repos/tomakehurst/wiremock/issues/571,issue,queri paramet valu doubl decod url helper class,problem request wiremock url fail follow stacktrac caus decod queri paramet valu tri decod alreadi decod valu call perform first decod decod queri part pass possibl solut return encod queri string split decod import split queri pair decod otherwis decod ampersand interpret queri delimit split oper,,2,10,decode|encode,55,0.18181818181818182,0.8454941511154175
916,https://api.github.com/repos/OpenFeign/feign/issues/916,issue,bodi contain json uriutil decod error,request bodi feign client declar invoc decod throw except urldecod decod code uriutil decod contain illegalargumentexcept return origin valu,pleas provid test case data provid either annot encod data provid annot encod intent valu sent request bodi encod valu place uri encod intent valu sent request bodi encod valu place uri encod valu encod bodytempl expand map variabl method decod valu,2,13,decode|encode,68,0.19117647058823528,0.8233200907707214
10962,https://api.github.com/repos/spring-projects/spring-framework/issues/10962,issue,spring url tag applic x www form urlencod encod spr,scott open comment spring url tag current use java net urlencod url encod templat variabl urlencod follow raw url encod rather applic x www form urlencod mime format effect encod space charter instead applic x www form urlencod defin part html spec see url spec spring url tag often use html assum url use html applic x www form urlencod content type affect rc issu link resttempl encod url variabl referenc commit,scott comment work around place switch true url encod util avail,2,13,encode|availability,94,0.13829787234042554,0.8087560534477234
682,https://api.github.com/repos/spring-cloud/spring-cloud-netflix/issues/682,issue,ribbonroutingfilt break encod queri paramet forward,raw valu request get forward upstream decod lead equal origin valu issu appear raw valu appear encod char,,2,3,encode|decode,25,0.12,0.7917107343673706
20415,https://api.github.com/repos/spring-projects/spring-framework/issues/20415,issue,reactiv request queri param decod correctli sign must space spr,open comment decod queri paramet plu sign must decod handl sign problem queri param post urldecod decod use fine affect rc referenc commit,rossen comment stringutil uridecod work expect per rfc hand urldecod decod despit name html form decod per javadoc decod space relat treatment form data urldecod decod decod queri paramet request content type applic x www form urlencod keep current behavior otherwis sinc specif context meet case arjen think comment browser chrome safari test submit space encod sinc request bodi content type header comment guess queri string part url page rossen comment think rfc usual updat forward link rfc current spec refer introduct summar base html spec browser submit form data queri string sinc server differenti form form encod paramet queri alway decod queri param form encod data rossen comment switch urldecod,3,22,decode|signing|encode,145,0.15172413793103448,0.7818763852119446
143,https://api.github.com/repos/oblac/jodd/issues/143,pr,lagartodombuild doubl decod attribut valu,xml attribut contain encod data therefor doubl encod storag attribut doubl decod constructor pars modifi method decod attribut seem cleanest solut,great catch thank much time bug appear due chang pars valu content previous content decod parser class content decod parser fix perfect thank,2,7,decode|encode,50,0.14,0.7782580852508545
483,https://api.github.com/repos/OpenFeign/feign/issues/483,issue,feign perform urlencod twice queri paramet valu,feign encod queri string twice final becom correct result first encod happen creat encod happen construct one requesttempl queri method accept boolean paramet determin whether encod queri paramet valu default valu boolean fals chang valu final write decod queri paramet valu two encod feign two encod queri paramet valu bug miss someth,hi encount problem success modifi queri part share demo code thx much encount problem yet sure bug feign read sourc code feign u request url paramt method paramt encod paramet twice see code snippet feign requesttempl java bug method queri key valu use encod valu second time invok case quick workaround ugli work thank yeah think case url process deleg found research think time take look mayb submit pr fix try take time duplic,3,11,encode|decode|delegation,134,0.08208955223880597,0.7691599130630493
13153,https://api.github.com/repos/spring-projects/spring-framework/issues/13153,issue,uriutil doubl encod spr,eduard open comment see quit strang behavior sure uriutil work detail url want ask use resttempl url follow url variabl pass outsid url pass valid url queri string call code rest getforobject api string class url code call api mention pass incom url see pass unencod url rest call uriutil noth paramet need url paramet append api paramet manual encod first doubl encod paramet invalid found code definit work sure alreadi encod paramet forc doubl encod affect refer url link uritempl encod queri paramet,chri comment rossen look least loos relat rossen comment good reason behavior resttempl invok use one method accept string uri templat charact encod sinc legal uri charact possibl know one encod one consid follow valu url doubl encod javadoc resttempl clear uri templat expect encod els doubl encod resttempl method accept uri instead see recommend watch comment potenti improv,2,14,encode|validate,148,0.0945945945945946,0.7602664828300476
233,https://api.github.com/repos/spring-cloud/spring-cloud-gateway/issues/233,issue,encod url without queri param encod,encod url space pass url get encod twice becom sign function use determin url alreadi encod workaround add queri paramat encod charact,,2,7,encode|signing,29,0.2413793103448276,0.7555763721466064
274,https://api.github.com/repos/jersey/jersey/issues/274,issue,uri path match oper encod path,uri match algorithm implement oper decod un escap uri path need oper encod path escap encod decod uri templat valu correctli return environ oper system platform,report sandozsandozsaid requir chang contain runtim provid encod uri path uri gener uri includ extract queri paramet work encod charact sandozsaid fix queri paramet path segment matrix paramet encod valu specifi work requir templat valu current templat valu alway encod form sandozsaid fix templat variabl valu assign sandozthi issu import java net jira jersey mark fix friday septemb th,3,10,encode|decode|signing,92,0.10869565217391304,0.752433180809021
