postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
33213,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/33213,issue,network watcher nsg flow log avail,network watcher diagnost log capabl share azur monitor content monitor manag page duplic link network well azur network watcher includ network perform monitor inform azur network secur group log analyt known nsg flow log clarifi monitor manag follow follow azur monitor log featur solut current avail azur govern solut preview microsoft azur includ unclear preview solut current avail monitor log featur current avail azgov solut avail azur govern includ network perform monitor npm npm cloud base network monitor solut public hybrid cloud environ organ npm monitor network avail across premis cloud environ endpoint monitor subcap npm monitor network connect applic follow azur monitor log featur solut current avail azur govern solut preview microsoft azur includ azur network secur group analyt solut document detail edit section requir doc microsoft com github issu link id b dfb b ca eba ee bd version independ id c f bc ad e f cf c content azur govern content sourc servic azur govern github login microsoft alia jawalt,thank feedback assign issu content author investig updat document appropri consid ad phrase along line technolog gener avail azur govern current support region note public document featur avail region inform see technolog public document current phrase sound though featur region avail especi look azur govern document first exampl network watcher traffic analyt network watcher gener avail traffic analyt avail everi region public govern howev statement network watcher gener avail azur govern make seem though dilig reader follow creat confus one publish doc say gener avail caveat restrict anoth state gener avail highlight potenti limit detail one take preced especi compar public govern cloud document pleas consid ad languag clarifi ensur messag consist across document,5,20,availability|security|login|signing|authorise,285,0.07017543859649122,0.9968662261962891
23702,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/23702,issue,token lifetim confidenti client,microsoft azur ad document say token lifetim confidenti client refresh token confidenti client applic secur store client password secret prove request come secur client applic malici actor exampl web app confidenti client store client secret web server expos flow secur default lifetim refresh token issu flow revok cannot chang use polici revok voluntari password reset day confidenti client web applic use rest api auth code grant client secret refresh token expir aadst refresh token expir due inact token issu z inact sure bug updat document yet pleas confirm thank document detail edit section requir doc microsoft com github issu link id ff dc e ad c f ae cf e version independ id b b c f cbec dd content configur token lifetim azur activ content sourc servic activ directori github login microsoft alia celest,thank feedback investig updat appropri accord error messag token expir due inact due age refresh token max inact time day per document referenc still expir due inact cc confirm proceed close thread question feel free tag comment reach msdn regist app azur ad microsoft graph api littl two week sinc user accept permiss scope tri refresh access token today got follow error aadst user authent grant expir user must sign impress refresh token expir user revok access confirm user use client secret op access refresh token initi wrong mean aad applic fall confidenti client categori,7,15,confidential|security|password|malicious|login|authentication|signing,235,0.06382978723404255,0.9963425397872925
43934,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/43934,issue,email client support modern authent,exchang recent announc retir basic authent legaci protocol document saml base sso support client basic auth document date mean saml base feder tenant latest outlook w basic auth outlook web help understand potenti chang mayb applic topic document detail edit section requir doc microsoft com github issu link id e e ae c b c bb version independ id f ab f ca b aedd ab bea f content azur ad connect saml ident provid singl sign content sourc servic activ directori sub servic hybrid github login microsoft alia billmath,thank feedback look back shortli exchang pm say feder older version uncertain whether basic auth requir saml base sso requir guess abl older version outlook seen mani case peopl use saml sso offic though setup reach folk ident team check whether need updat cc came mind third parti cloud base saml idp onelogin got new respons pg modern authent client work saml idp count web capabl client servic modern auth redirect document say web base client outlook web access sharepoint onlin impli modern auth everyth work great thank verifi,5,16,authentication|saml|sso|signing|login,185,0.08648648648648649,0.9953837990760803
47021,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/47021,issue,login hint remov option sign anoth account microsoft login page forc user prefil usernam password,login hint remov option sign anoth account microsoft login page forc user prefil usernam password document detail edit section requir doc microsoft com github issu link id b b c f f bad version independ id c e b ec f b f eea ee content singl sign msal js microsoft ident content sourc servic activ directori sub servic develop github login microsoft alia nacanuma,thank feedback investig updat thread edit question relev detail understand anyth add feel free add look updat thread confirm pleas explain scenario busi perspect want behavior cloud app specif cloud app specif st parti app specif rd parti app thank need behavior specif one app regist azur ad microsoft app rd parti app regist app registr enterpris applic blade azur ad rd parti app regist app registr app feder azur ad use sdk librari directli send request pleas confirm hi directli send request hsu along login hint someoneparamet url purpos proceed closur thread feel free tag repli question thank,4,13,login|signing|username|password,180,0.07222222222222222,0.9953051209449768
19410,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/19410,issue,incorrect inform adminsitr access secur administr,secur administr user role read permiss secur reader role plu abil manag configur secur relat servic azur activ directori ident protect azur inform protect offic secur complianc center unfortun peopl role access azur inform protect pls verifi document detail edit section requir doc microsoft com github issu link id aac fcd eaac c f eadd version independ id f e e fda cb content administr role permiss azur activ content sourc servic activ directori github login microsoft alia curtand,thank question investig updat shortli hi test lab abl access everyth azur inform protect user assign secur administr role see screenshot post screenshot see log role access azur inform protect click search bar top exactli unabl access pleas add secur administr role user sign user search azur inform protect top search bar abl access section proceed close thread question pleas tag comment gladli continu discuss,4,16,security|protect|login|signing,151,0.10596026490066225,0.9946117997169495
15104,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/15104,issue,b c authent,possibl authent use azur ad b c document detail edit section requir doc microsoft com github issu link id bd c c b c c f version independ id cc aa c b b c ef cc content authent access azur storag use azur activ directori content sourc servic storag github login microsoft alia tamram,explain tri azur ad authent access azur storag blob queue use azur ad credenti specif authent user author access blob queue azur ad credenti use azur ad b c azur storag simpli look azur ad authent access azur storag b c app platform credenti work use azur ad azur b c tenant custom login custom abl connect azur blob storag use ad authent current possibl expect someth similar approach authent azur function b c describ current support azur ad authent blob queue servic ad futur announc provid addit insight regard topic let us know need help proceed close thread question regard matter pleas reopen gladli continu discuss,4,15,authentication|login|credential|authorise,166,0.09036144578313253,0.9943457245826721
9749,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/9749,issue,miss app name azur activ directori oauth login page,app redirect user login use azur activ directori via oauth past month ago login page display app name miss latest design document detail edit section requir doc microsoft com github issu link id fb ccc fc bde f fc version independ id c bac f b f ea content microsoft sigin experi content sourc servic multi factor authent github login microsoft alia lizross,mean abl see applic name applic login page older version login ui page new login ui correct app url redirect microsoft login page notic app name longer visibl send feedback product team encourag pleas post feedback allow commun upvot product team includ plan give product feedback button document take directli appropri feedback page proceed close thread question regard matter pleas reopen gladli continu discuss,4,12,oauth|login|signing|authentication,137,0.08759124087591241,0.9941468834877014
45078,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/45078,issue,adf servic trust usernamemix endpoint,tri saml assert azur ad use adf servic trust usernamemix endpoint accord articl adf ad cannot call endpoint find document true saml assert document detail edit section requir doc microsoft com github issu link id eefa e e f f bda f version independ id cea ab f ccfa f bd e content move app ad fs azur content sourc servic activ directori sub servic app mgmt github login microsoft alia mimart,thank rais issu investig issu updat endpoint similar adf avail azur ad adf servic trust usernamemix endpoint present azur endpoint avail azur far know usernamemix endpont adf use mainli soap base legaci request abl find relat document well check intern find anyth updat thread thank azur ad implement everyth exactli similar adf even though function one azur ad encourag applic develop modern authent usernamemix endpoint avail case close issu case queri pleas tag author document repli happi help,7,16,trust|username|saml|login|availability|authentication|authorise,156,0.10256410256410256,0.9940964579582214
16181,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/16181,issue,region avail need updat,avail zone doc specifi larger number support region includ north europ doc need updat avail zone redund vnet gateway lag slightli document detail edit section requir doc microsoft com github issu link id c b f ec c eb version independ id fae f e f c content creat zone redund virtual network gateway azur avail content sourc servic vpn gateway github login microsoft alia cherylmc,zone redund gateway state central us franc central west europ region avail avail zone page state central us franc central north europ west europ west us region fulli avail east us southeast asia preview check see correct page need updat new region avail zone page correct assign issu content author evalu updat appropri updat thank pleas close proceed close thread question regard matter pleas tag repli gladli continu discuss reopen issu,4,11,availability|login|signing|authorise,142,0.07746478873239436,0.9940958619117737
44614,https://api.github.com/repos/MicrosoftDocs/azure-docs/issues/44614,issue,user assign manag ident support app servic key vault integr,hi page mention key vault refer current support system assign manag ident user assign ident cannot use sinc say current led believ support user assign manag ident road one requir product workload easili control lifecycl ident within resourc group eta avail user assign manag ident thank tobia document detail edit section requir doc microsoft com github issu link id feaa cb cb b b f version independ id f f f f b content key vault refer azur app content sourc servic app servic github login microsoft alia mahend,thank feedback current investig updat shortli thank feedback product group work cannot provid eta point time sinc typic try keep azur doc channel scope feedback directli doc close issu thank understand,4,8,signing|integrity|availability|login,131,0.061068702290076333,0.9935960173606873
