language,title,tags,link,label,summary
java,updat remot order refresh code sign certif,pr,https://github.com/jenkinsci/jenkins/issues/3398,API Change,Version update
java,valid login url empti form base auth,pr,https://github.com/zaproxy/zaproxy/issues/4614,Fix,Missing functionality
java,che add password encrypt user creat updat,pr,https://github.com/eclipse/che/issues/2197,Review,Updating to better practice
java,hostnam cannot verifi case ssl certif issu ip address,issue,https://github.com/square/okhttp/issues/1467,Errors,Identified bug
java,spring cloud gateway spring secur cas,issue,https://github.com/spring-cloud/spring-cloud-gateway/issues/987,API Usage,Issue integrating a component
java,includ pulsar checksum pulsar client shade jar,pr,https://github.com/apache/pulsar/issues/65,Fix,Missing functionality
java,encrypt local fight covid db use sqlcipher,issue,https://github.com/nic-delhi/AarogyaSetu_Android/issues/25,Review,Updating to better practice
java,okhttpclient give warn connect acra backend leak forget close respons bodi,issue,https://github.com/ACRA/acra/issues/716,Errors,Identified bug
java,sec add digest similar basic secur namespac,issue,https://github.com/spring-projects/spring-security/issues/2095,Review,Updating to better practice
java,make possibl disabl signatur check json return configur updat site,pr,https://github.com/jenkinsci/jenkins/issues/229,Update,Adding functionality
java,jenkin redirect login page,pr,https://github.com/jenkinsci/blueocean-plugin/issues/472,Fix,Missing functionality
java,add protect method checkwaitreadtim informreadoper,pr,https://github.com/netty/netty/issues/5163,Review,Updating to better practice
java,rstudio instal claim packag sign opensus,issue,https://github.com/rstudio/rstudio/issues/3069,"Discrepancy, Errors",Unexpected error
java,fix check connect materi encrypt password project,pr,https://github.com/gocd/gocd/issues/1836,Fix,Missing functionality
java,fix reset messag header index verifi checksum strip reconnect,pr,https://github.com/apache/pulsar/issues/90,Fix,Bug fix
java,support encrypt cas cooki,pr,https://github.com/apereo/cas/issues/881,API Usage,Integrating a component
java,audit event log audit logfil,issue,https://github.com/elastic/elasticsearch/issues/41318,Fix,Bug fix
java,java client nginx grpc ssl java server use dns,issue,https://github.com/grpc/grpc-java/issues/5552,Discrepancy,Usage confusion
java,replac md hash rememb token,issue,https://github.com/spring-projects/spring-security/issues/8549,Review,Updating to better practice
java,sec execut jaa login modul requir httpservletrequest,issue,https://github.com/spring-projects/spring-security/issues/2091,Update,Adding functionality
java,user login expir still refresh detail servic configur inform,issue,https://github.com/alibaba/nacos/issues/877,Discrepancy,Unexpected behaviour
java,oauth secur filter chain total ignor,issue,https://github.com/spring-projects/spring-security-oauth/issues/1076,Discrepancy,Unexpected behaviour
java,cli refus work expir certif keystor path,issue,https://github.com/prestodb/presto/issues/9516,Errors,Identified bug
java,mysql connector support unsign bigint,issue,https://github.com/prestodb/presto/issues/11279,Errors,Identified bug
java,keycloak invalid session cluster saml logout,pr,https://github.com/keycloak/keycloak/issues/3922,Update,Adding functionality
java,show new safeti number warn group group messag,issue,https://github.com/signalapp/Signal-Android/issues/6621,Fix,Missing functionality
java,x doc add common definit secur set,pr,https://github.com/elastic/elasticsearch/issues/53242,Review,Updating to better practice
java,bytebufutil decodehexdump,pr,https://github.com/netty/netty/issues/6792,Review,Updating to better practice
java,cach encrypt method seem work,issue,https://github.com/google/ExoPlayer/issues/4744,Discrepancy,Usage confusion
java,spark servic final protect member,issue,https://github.com/perwendel/spark/issues/675,Conceptual,Discussing security considerations
java,add secur flag cooki ssl enabl,pr,https://github.com/rstudio/rstudio/issues/888,Review,Updating to better practice
java,fail decod nal encod error,issue,https://github.com/fyhertz/libstreaming/issues/247,"Discrepancy, Errors",Unexpected error
java,unabl load multipl client certif pem trust store,issue,https://github.com/eclipse-vertx/vert.x/issues/1613,Errors,Identified bug
java,password oauth flow refresh token,issue,https://github.com/springfox/springfox/issues/3091,"Errors, API Usage",Identified bug in API component use
java,zeppelin zeppelin login fail npe ldaprealm authorizationen true,pr,https://github.com/apache/zeppelin/issues/2867,Fix,Bug fix
java,astral unicod charact includ uri part properli encod,issue,https://github.com/jersey/jersey/issues/3061,,
java,codenvi add element injector servic parent id,pr,https://github.com/eclipse/che/issues/710,Update,Adding functionality
java,spa popup login dialog session timeout,issue,https://github.com/gocd/gocd/issues/4474,Errors,Identified bug
java,ignit ctx secur onsessionexpir subjid call,pr,https://github.com/apache/ignite/issues/5682,Errors,Identified bug
java,sec integr test insecuremvc,issue,https://github.com/spring-projects/spring-security/issues/2851,Review,Adding tests
java,oauth spring refresh token access token expir deadlock situat,issue,https://github.com/spring-projects/spring-security-oauth/issues/644,Discrepancy,Usage confusion
java,kafka hide password log config,pr,https://github.com/apache/kafka/issues/371,Review,Updating to better practice
java,fix kerbero authent doc,pr,https://github.com/apache/druid/issues/4822,Fix,Bug fix
java,spring secur,issue,https://github.com/527515025/springBoot/issues/26,Discrepancy,Unexpected behaviour
java,openssl e platform window,pr,https://github.com/eclipse/openj9/issues/8901,API Change,Adjusting versions
java,legaci migrat incompat messagedigestpasswordencod consid part salt,issue,https://github.com/spring-projects/spring-security/issues/6594,Discrepancy,Unexpected behaviour
java,possibl leak lock plugin hit except close,issue,https://github.com/elastic/elasticsearch/issues/13685,"Errors, API Usage",Identified bug in API component use
java,improv third parti authent support,issue,https://github.com/flyway/flyway/issues/2696,Review,Updating to better practice
java,move ldap authent password authent plugin,pr,https://github.com/prestodb/presto/issues/9865,Review,Refactor
java,neo j debian repo ssl certif expir,issue,https://github.com/neo4j/neo4j/issues/11963,API Change,Expiration
java,bindauthent success authent incorrect password certain ldap server configur,issue,https://github.com/spring-projects/spring-security/issues/4191,Errors,Identified bug
java,login mancent tomcat sessioncookiedomain enabl,issue,https://github.com/hazelcast/hazelcast/issues/2281,"Discrepancy, Errors",Unexpected error
java,es secur use ngnix revers proxi,issue,https://github.com/elastic/elasticsearch/issues/8318,Errors,Identified bug
java,profil crypter decrypt alt channel,issue,https://github.com/grpc/grpc-java/issues/6761,Review,Updating to better practice
java,spring secur oauth facebook implement work propertli,issue,https://github.com/spring-projects/spring-security-oauth/issues/386,"Discrepancy, API Usage",Confusion in API component use
java,enhanc tls protocol ciphersuit control,pr,https://github.com/iNPUTmice/Conversations/issues/618,Review,Updating to better practice
java,two mvc control configur differ secur model,issue,https://github.com/spring-projects/spring-boot/issues/443,"Conceptual, API Usage",Wants to better understand an API
java,decrypt data sourc question,issue,https://github.com/google/ExoPlayer/issues/6122,"Discrepancy, Errors",Usage confusion
java,generatepresignedurl leav default port gener url,issue,https://github.com/aws/aws-sdk-java/issues/445,Errors,Identified bug
java,proper shutdown http encod channelinact,pr,https://github.com/netty/netty/issues/3961,Fix,Bug fix
java,support intermedi certif author,issue,https://github.com/square/okhttp/issues/3667,API Usage,Usage question
java,minor chang bring alia truststor match distinguish name,pr,https://github.com/undertow-io/undertow/issues/41,Review,Updating to better practice
java,improv crypto structur detect,pr,https://github.com/k9mail/k-9/issues/2763,"Fix, Review",Bug fix and improvement
java,sec getter cookienam abstractremembermeservic,issue,https://github.com/spring-projects/spring-security/issues/1223,Fix,Missing functionality
java,access deni actual encrypt column sql project,issue,https://github.com/apache/shardingsphere/issues/4649,Fix,Missing functionality
