postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
438,https://api.github.com/repos/webpack/webpack-dev-server/issues/438,issue,webpack dev server hash file name,webpack dev server support bundl name hash file name follow setup asset gener correctli refer index html js css file name depend hash valu chang everi build,need hash webpack dev server cach problem work webpack dev server recommend everi increment build server gener new js file hash old file remov process slowli run memori use hack config name dev server dev hash js,3,8,hash|asset|hack,71,0.11267605633802817,0.81395024061203
84,https://api.github.com/repos/Jasonette/JASONETTE-iOS/issues/84,pr,util script refresh icon asset,refresh icon util script distil main setup refresh icon asset case chang need tweak,thank nifti,2,4,scripting|asset,22,0.18181818181818182,0.7801018953323364
1879,https://api.github.com/repos/webpack/webpack/issues/1879,issue,run webpack optim uglifyjsplugin js asset chunk,use copi webpack plugin copi file public directori hope minifi process product build use oper output chunk asset belong chunk minifi webpack minifi javascript file copi use plugin,webpack minifi javascript file copi use copi webpack plugin plugin support webpack process js asset fair enough third parti js sdk need public locat requir extra js anyth think make entri point one file fri jan tobia kopper notificationshow webpack minifi javascript file copi use copi webpack plugin plugin support webpack process js asset repli email directli view github,2,7,asset|scripting,95,0.07368421052631578,0.7630693912506104
489,https://api.github.com/repos/webpack/webpack/issues/489,issue,add support filehash option,moment output name option includ build hash hash file chunk miss someth file chunk uniqu hash exampl use extract text plugin add css file chunk css js file chunk share hash optim cach purpos mayb js chang invalid css bundl,problem js chunk need hash content hash need part content url load extract chunk gener differ hash js chunk ad css chunk thank commit introduc support,2,9,hash|validate,71,0.1267605633802817,0.7624762654304504
1324,https://api.github.com/repos/jantimon/html-webpack-plugin/issues/1324,pr,bug fix cannot emit output file chunkhash uniqu url code,output path path join dirnam dist webpack webpackmajorvers publicpath filenam bundl js v chunkhash encodeurlcompon break bundl js v chunkhash,question mark output name try filenam bundl chunkhash js instead,2,5,hash|encode,41,0.12195121951219512,0.723273754119873
1450,https://api.github.com/repos/getredash/redash/issues/1450,issue,proper static asset build setup,current output name need add hash,,2,2,asset|hash,12,0.16666666666666666,0.7119720578193665
3606,https://api.github.com/repos/ajaxorg/ace/issues/3606,issue,ace build file fingerprint,fingerprint ace editor build file fingerprint md hash valu lot way fingerprint js css file exampl gulp rev grunt rev built fingerprint ace build file use makefil dryic js,fingerprint file use makefil dryic js fingerprint file build fingerprint file help reduc load time browser unchang file need load everi time fingerprint think abl method fingerprint rest file project need run afterward let know misunderstand issu need run ace config setmoduleurl ace mode javascript everi file need everi dynam import use ace js file usual file fingerprint refer file use main file file chang base finger print valu exampl mode javascript js file fingerprint mode javascript fingerprint js valu must modifi base fingerprint valu wherev use imag file java png fingerprint java png css use chang origin code chang code need run ace config setmoduleurl ace mode javascript everi file need everi dynam import use ace js file need everi file renam ace load imag css file use configur setmoduleurl,3,20,fingerprint|hash|scripting,165,0.12121212121212122,0.7015284299850464
931,https://api.github.com/repos/gridsome/gridsome/issues/931,issue,asset build without subdirectori,summari gridsom build imag asset folder ignor path file use hash build add file path eg webpack ad regex path name usehash hash ext public asset static home pngpublic asset static team pngpublic asset static cover pngpublic asset static cover db ae pngpublic asset static cover e e bf pngpublic asset static cover e ffcd pngpublic asset static cover pngpublic asset static cover pngpublic asset static cover pngpublic asset static project project cover pngpublic asset static project project b cover pngpublic asset static project project c cover pngrequir context asset img cover jpglib webpack createbaseconfig js path name usehash hash ext path name usehash hash ext asset img src asset imag project moment cover jpg asset img src asset imag project orford cover jpg requir context,forget sinc found correct load imag sinc webpack abl import dynam modul soon base end someth fetch imag asset dir dev fetch process imag prod end within mani one differ hash ok,3,29,asset|hash|forge,163,0.17791411042944785,0.6926232576370239
1309,https://api.github.com/repos/jaredpalmer/razzle/issues/1309,pr,contenthash better longterm cach js asset,summari contenthash instead chunkhash better longterm cach js asset chunkhash reli whole chunk oppos contenthash reli content js file,,2,7,hash|asset,26,0.2692307692307692,0.6772562861442566
139,https://api.github.com/repos/jxnblk/mdx-deck/issues/139,issue,question bundl asset imag build,ad directori put offlin asset imag work dev mode good includ offlin static asset build,current workaround copi folder npm script give everyth need host present plan support use techniqu load imag dev mode,2,4,asset|scripting,40,0.1,0.6712565422058105
150,https://api.github.com/repos/mozilla/send/issues/150,issue,add static asset revis,rememb add sha asset convert static bundl js static bundl f bcd js,done,2,3,asset|sha,19,0.15789473684210525,0.6678035259246826
362,https://api.github.com/repos/jaredpalmer/razzle/issues/362,issue,invalid buld asset json build,build app product asset start dev mode asset json chang ignor watch mode old product valu instead three possibl solut remov entir folder remov ignor forc user add prestart command packag json,,2,4,validate|asset,38,0.10526315789473684,0.6670364737510681
10050,https://api.github.com/repos/meteor/meteor/issues/10050,pr,improv file hash logic bundler js,follow recommend sha hash everi file comput file sha hash hash entir content file twice two differ algorithm chang improv invalid hash call ignor comput hash actual file content disagr wors perform benefit precomput hash,,3,10,hash|sha|validate,42,0.23809523809523808,0.6628497838973999
1037,https://api.github.com/repos/GoogleChrome/workbox/issues/1037,issue,per asset revis hash webpack plugin output,librari affect workbox webpack plugin copi notic revis number twig file although file differ file manifest ident revis number thought revis calcul file hash,,2,3,asset|hash,32,0.09375,0.6576222777366638
288,https://api.github.com/repos/PatrickJS/starter/issues/288,issue,serv gener asset,starter asset serv src folder howev need copi asset differ locat gener fly imag build step folder src asset dist asset differ content serv src asset best deal situat ps tri serv dist webpack dev server load index html js file dist folder instead memori auto updat content gener src asset folder use gulp task,npm script pure bash cp command packag json file move,2,8,asset|scripting,69,0.11594202898550725,0.6544634699821472
