answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
gnupg modul cpan contain synopsi seem clean crypt::openpgp modul help pure perl implement openpgp spec descript crypt::openpgp pure-perl implement openpgp standard addit support standard crypt::openpgp claim compat mani pgp implement support standard preced crypt::openpgp provid signing/verif encryption/decrypt keyr manag key-pair gener short provid everyth need pgp-enabl exampl use verifi file,2011-03-06 16:14:05.94 UTC,90,5211655,want verifi gpg sign file verifi archive.tar.gz archive.tar.gz.sign atm simpli call gpg directli pars exit code output works-for-m solut figur must nicer perlish program novic fail understand gpg cpan modul hint much appreci,0.23333333333333334,21,gnupg perl,verifi gpg file signatur perl,7,gnupg|signing|signature|crypt|pgp|scripting|encrypt,0.9885222315788269
html::stripscript whitelist tree-bas parser safe whitelist xss vast topic exploit come everi day remov script make code/sit safe better try strip blacklist certain thing safer white list html/special charact allow site i.e defang seem latest/greatest anti xss lib perl cpan blacklist vs whitelist owasp xss cheat sheet suggest play cal9000 idea widespread / tricki xss,2009-05-06 07:17:59.177 UTC,86,828400,need perl strip naughti thing xss imag interject work found html::stripscript updat close two year date new exploit safe? markup languag perl,0.3023255813953488,26,perl security xss,html::stripscript still safe remov modern exploit,9,security|xss|scripting|safe|exploit|whitelist|blacklist|white list|owasp,0.9882494807243347
well kind exploit think about? want write someth need low level stuff ptrace raw socket etc need learn c perl python use real question one suit style more? toolmak perl good string-process abil closer system good support imho confus prefer python clean easi easi learn languag good support complet language/lib refer 3rd parti lib etc strictli imho cool probabl want rubi nativ languag metasploit de facto standard open sourc penetr test framework rubi go give metasploit framework opcod shellcod databas metasploit rubi lorcon bind raw 802.11 work metasploit karma bind 802.11 clientsid redirect libcurl net/http web tool write eventmachin web proxi fuzz work rfuzz extend well-known mongrel webserv metasm shellcod gener distorm x86 disassembl bindata binari file format fuzz second place goe python pentest librari avail python rubi enough offset metasploit commerci tool tend support python well --- immun canva core impact custom want python python give twist network access paimei program trace programm debug canva impact support dornseif firewir librari remot debug readi integr windbg remot window kernel debug still good answer rubi kernel debug still occasion python peach fuzzer sulli fuzz spikeproxi web penetr test owasp pantera unsurprisingli lot web work use java tool de facto standard web pentest tool burp suit java swing app rubi python java variant access tool rubi python offer direct integr libpcap raw packet work openssl bind crypto ida pro extens matur least reason c foreign function interfac api access wxwindow ui work decent web stack web uis go go wrong either languag though mainstream pentest work metasploit probabl edg python benefit present x86 revers work python superior debug interfac edg rubi benefit 2008 script languag program languag plan use metasploit pen-test exploit develop recommend rubi mention previous metasploit written rubi exploit/modul develop wish requir rubi use immun canva pen test reason recommend python canva written python allot fuzz framework peach sulley written python recommend perl find littl tools/scripts/framework relat pen testing/fuzzing/exploits/. perl question tool write exploit develop recommend rubi choos metasploit python choos canva hope help [disclaim primarili perl programm colour judgement howev particularli tribal one think particular question argument reason objective.] perl design blend seamlessli unix landscap feel alien peopl mainly-oo background particularli java school oop reason though it’ incred wide instal machin kind unixoid os mani vendor system util written reason server neither python rubi instal still like perl make import familiar ceh activ includ extens activ unix amount familiar perl anyway well focu said larg matter prefer much differenti languag express power virtual ident thing littl easier one languag littl easier anoth term librari know rubi python compar – know perl beat margin sometim particularli you’r look librari common need effect delug choic look thing particular area well cover librari python rubi mass stuff cpan isn’t necessarili advantag nich area howev matter never know unforeseen need eventu err definit one-lin command line python kind non-start term interact interpret environ perl… uhm… well debugg great instal one cpan perl doesn’t ship good one think perl slight edg need particular pick rubi you’ll probabl much wors python inconveni littl notic hardli bad choic look script languag play well java want look groovi flexibl power perl closur built regex associ array everi corner access java code thu access huge number librari particular rest system develop make argument three :- perl cpan - give huge advantag pull togeth function quickli nice flexibl test infrastructur mean plug lot differ autom test style includ test languag framework rubi love languag learn - lack cruft perl 5 web base test watir librari - trez use see http://wtr.rubyforge.org/ python - nice languag person prefer folk find structur easier grip mani other great languag learn instead look languag - look work environ alway easier learn stuff folk around similar stuff current dev/test folk alreadi focuss one - go pick one applicable/us current work environ chat rest team see think tqbf work python rubi current work jrubi power rubi access java librari someth absolut need low-level languag solv high-level languag far need realli much java rubi abil everyth need api tester interest ceh take look grey hat python show stuff pretti interest relat said languag fine depend implement distribut go java see know portabl intern use semi-control environ go whatev comfort maintain whichev best long-term outlook answer question go perl linux guy bit bias suffici unless need librari avail one languag let person prefer guid speak ceh learn ceh materi first expos varieti tool platform use mount variou kind attack understand target well look capabl tool platform alreadi avail previous mention metasploit framework thorough robust extend meet needs? know compar capabl languag recommend take look tool avail backtrack distro metasploit great framework penetr test mainli written rubi know languag well mayb hook howev metasploit need know languag,2008-09-16 20:11:22.217 UTC,872,76408,first want avoid flame-war languag languag choos perl python rubi want mention comfort problem focu one exampl see cool perl modul try see nice python app know made see rubi dsl rubi voodoo hook rubi right work java develop plan take ceh near futur question tool write exploit develop languag find appropriate? want caus flame-war troubl want honest opinion scripter know one thing mayb ask settl one language? answer choos one languag order try master,0.06536697247706422,57,penetration-testing perl python ruby security,script languag appropri pen-test,20,penetration-test|security|scripting|pen-test|exploit|metasploit|penetration test|shellcode|fuzz|pentest|availability|integrity|owasp|burp|openssl|crypt|pen test|signing|forge|attack,0.9585027694702148
trueres includ open-sourc c# truecrypt librari allow read encrypt volum without mount addit librari includ ntf support true crypt command line say system.diagnostics.process,2009-08-22 10:06:06.343 UTC,66,1315677,need load file umount truecrypt disk memori programatically? truecrypt offer api? believ best attempt mount volum prompt user password cours open file unmount volum automatically? window vista c# python perl readili avail,0.13636363636363635,9,c# perl python readfile truecrypt,programat read file truecrypt disk memori,4,crypt|password|availability|encrypt,0.8860262036323547
secureblackbox let creat manag x.509 certif c# let add custom extens believ bouncycastl well openssl direct wrapper around librari rubi openssl librari openssl power trust toolkit -- addit advantag call script languag use openssl commandlin tool advantag interact commandlin help debug script manual gener cert outsid script use ca turn ad exactli inform document rubi 1.9.3 publish today jame britt - look document openssl::x509::certif answer question modifi exampl gener particular extens list exampl straightforward particular extens support openssl complic case e.g custom othernam exampl still openssl::x509::extens document yet unfortun openssl::asn1 modul need custom extens hand document 1.9.3 code/advic present applic 1.9.2 well asn1 modul creat multi-valu version subjectaltnam,2011-10-03 19:06:58.497 UTC,166,7639483,look library/module/packag creat sign x.509 certif abil condit add custom v3 extens &ndash fairli complic exampl bletch openssl.cnf snippet use kerbero pkinit repres everyth found languag know perl python rubi php bash c# use command line automat gener .cnf files. ugli process better it? rubi openssl look nice first got pkinit.,0.13855421686746988,23,c# perl python ruby x509,x.509 librari,8,x.509|signing|certificate|openssl|kerberos|security|trust|scripting,0.8574547171592712
tri configur make work wish assist u make work sure reason go rout chosen sign python? sign it? mayb provid assit write python implementation? pretti sure someth os.system pipe variabl perl script someth seem elud correct subprocess modul os.system provid pipe featur look os.popen return tupl stdin stdout subprocess subprocess python script perl script,2009-04-28 14:58:34.27 UTC,145,798413,hack support domainkey dkim open sourc email market program use python script send actual email via smtp decid go quick dirti rout write perl script accept email messag stdin sign return sign python script pipe email text string perl script store result anoth variabl send email sign exactli python guru howev seem find good pretti sure someth pipe variabl perl script someth seem elud short pipe variabl python script perl script store result python? edit forgot includ system work python v2.3,0.12413793103448276,18,dkim domainkeys perl python,call perl script python pipe input,4,scripting|hack|signing|forge,0.7171173691749573
slightli overlong one liner autosplit - popul hash base largest date output revers date order use compar convert date iso format simpl string comparison see xkcd iso 8601 compar date use unix time input filelog.txt run script,2013-04-29 08:14:19.163 UTC,73,16274019,log file log.txt file want sort usernam latest login example- user paul 2 login januari one login februari take februari login detail last login paul input file log.txt-- output file,0.1232876712328767,9,perl,perl program take latest login,4,login|username|hash|scripting,0.66264408826828
"standard input see chapter input standard input learn perl look ootb nmap option this?nmap option read ip address list file read nmap websit specif option look -il input list read target specif pass huge list host often awkward command line yet common desir exampl dhcp server export list 10,000 current leas wish scan mayb want scan ip address except locat host use unauthor static ip address simpli gener list host scan pass filenam nmap argument -il option entri format accept nmap command line ip address hostnam cidr ipv6 octet rang entri must separ one space tab newlin specifi hyphen - filenam want nmap read host standard input rather actual file input file contain comment start # extend end line follow print wait user input line read inform user input",2011-06-22 02:06:49.883 UTC,170,6434135,make perl script prompt enter rang ip address run perl script terminal? perl script scan ip address nmap current scan ip address rather command function termin prompt enter rang ip address scan,0.029411764705882353,5,cgi networking perl security,prompt termin request ip address,3,security|scripting|authorise,0.5882826447486877
,2012-04-02 21:05:36.333 UTC,32,9983816,part larger project receiv kerbero ticket embed xml need decid valid ktab server look authen::krb5 authen::krb5::simpl though find exampl use decrypt ticket reason solution? exampl avail,0.21875,7,kerberos perl,decrypt kerbero ticket perl,4,kerberos|crypt|validate|availability,0.5711073279380798
extens research closest thing complet solut besid crypt::openssl::verifyx509 see net::ssleay whole bunch low-level bind openssl recent ad document spars abl past relat segfault instead valid cert chain hand convert::asn1 re-encod tbscertif data decodedin pkcs#7 file tbs to-be-sign signatur pcks#7 data subjectpublickeyinfo.subjectpubl key cert sign cert feed $signer_key = crypt::openssl::rsa->new_public_key$signer_key_pem $signer_key->verify$cert_as_sign $signatur repeat cert chain check valid date extens capabl cert part,2018-03-24 01:00:23.46 UTC,105,49460188,valid cert given root cert sign it? got far ok what? see obviou crypt::openssl::verifyx509 only/best answer? modul problemat compil instal continu vein go feel miss someth look python exampl obviou api equival see openssl perl librari,0.26666666666666666,28,openssl perl rsa x509,valid rsa cert perl,9,openssl|rsa|validate|signing|crypt|encode|certificate|decode|signature,0.5497321486473083
form incorrect shell command invok shell all? try,2013-11-15 15:07:58.293 UTC,82,20004137,script connect databas pull list usernam password subroutin hit login password /usr/local/apache2/bin/htpasswd -bc dump /tmp/file user unalb log discov htpasswd process login password $ symbol regex /^\s+\s\s+$/ find word dollar sign - troubl alter regex case login $ charact vice-versa password put statement escap $ charact hell time put quot varaibl altern regex one both escap usernam password dollar sign $user $pass variable? waht far,0.15853658536585366,13,.htpasswd perl regex variables,htpasswd escap $ perl variabl,5,scripting|username|password|login|signing,0.5410266518592834
basic two way handl convert exist password format accept django write django password hasher first found password field consist three part separ django 1.6 password 4 part let ignor extra part sinc django 1.6 support tradit 3-part password part algorithm describ password hash algorithm look md5 pbkdf2 etc salt salt hash algorithm hexdigest hash password assum password alreadi salt hash script need take hashed/salt password exist databas separ salt hash store databas appropri algorithm string prefix perl modul password hash use variou algorithm django recommend algorithm pbkdf2 bcrypt good hash algorithm fine though far django concern long built-in hasher algorithm django hasher common hash algorithm exist password salt hashed…wel good time ;- altern copi password new databas as-i write password hasher handl django app cours requir write python code,2014-02-27 00:12:58.32 UTC,203,22056397,emerg project dump merg mysql user databas exist django user databas figur everyth except handl password differ hash know python django backend much hash techniqu verifi user email need take password give save databas django-accept done perl sinc languag know server found page talk django handl password sadli understand say know help admin area django site give hint [algo]$[salt]$[hexdigest] password mean much either mayb one,0.2315270935960591,47,django perl python sha,possibl creat django password perl,8,sha|password|hash|salt|md5|pbkdf2|scripting|crypt,0.5181586742401123
,2018-09-22 10:57:19.683 UTC,54,52455992,think time post question crypto.stackexchange.com think question relat implement theori go decid password hash method futur backend backend written perl plan quit clear one question left best knowledg key deriv function hash function hash actual done? encrypt salt input string e.g password key deriv salt input string password,0.2962962962962963,16,perl scrypt,crypt::scryptkdf::scrypt_hash acut hash input,5,crypt|hash|password|encrypt|salt,0.5060602426528931
popup probabl standard http auth case send credenti,2013-03-05 21:02:22.84 UTC,20,15234049,websit tri crawl,0.2,4,bots javascript perl web-crawler,crawl password protect popup site,4,scripting|password|protect|credential,0.5022960305213928
everyth work updat io::socket::ssl version 2.014,2015-05-04 08:04:19.217 UTC,36,30025378,use perl script http::proxi 0.303 net::ssleay 1.66 io::socket::ssl 2.012 modul openssl win7 get error perl openssl certif error? url output,0.25,9,openssl perl windows-7,openssl 1.0.2a perl 5.18.4 window 7 error,4,openssl|ssl|scripting|certificate,0.42298799753189087
