answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
shell command expect code loop problem instead mix shell expect code simpli expect whole task get user type password instead provid command line,2018-08-16 12:46:29.733 UTC,50,51877457,script command command.txt use spawn ssh firewal fail execut echo command input firewal name understand wrong,0.14,7,bash expect linux send,send bulk command file firewal use script,4,firewall|scripting|ssh|password,0.8753489851951599
,2019-04-17 11:10:12.63 UTC,79,55726195,want find secur bash disabl ssh-key login server side mean want put password file keptin memori need want password seen execut ps loop want remov password come solut first password interact command reus loop final remov use loop end password wrong first digit return statu ssh wrong password case press machin 5 interest opinion regard secur note need &amp;&amp end line last block avoid execut prompt_command clear sshpass,0.21518987341772153,17,bash ssh sshpass,ssh reconnect loop automat enter password ssh-key disabl,4,ssh|password|security|login,0.8729364275932312
use similar script autologin use interact remov expect eof screen back enter command hand think problem solv use expect pass password ssh command look hand control you/your keyboard put togeth log leav command line exactli though type manual,2010-05-12 21:50:41.067 UTC,181,2823007,want autom ssh login host allow key authent server invent know much shell script research show command expect script use exactli purpos script ran work perfectli login initi run success end command work hit enter make new line.arrow key non-alphanumer key produc symbol ^[[c ^[[a ^[oq etc.[1] prompt appear except two initi creat expect script.ani ignor command execut local shell expect time out.an exampl ...time pass expect time out.. said shell script experi think caus still insid expect insid ssh termin expect log hand ssh session me? tri command close exit send -- \r yeah want expect die vindict take ssh session leav back start realli need expect job termin leav ssh session back hand manual help appreci thanks.[1] know name know one frighten thing googl punctuat charact ignor side question stori,0.11602209944751381,21,bash expect shell ssh,ssh login expect1 exit expect remain ssh,5,ssh|login|authentication|scripting|password,0.847696840763092
expect command eof encount password script act normal chang timeout -1 someth els caus expect move next line expect string show within given timeout current valu -1 caus block forev password prompt updat,2012-02-27 12:17:55.297 UTC,81,9464887,follow expect script work fine linux machin ask password login linux machin need password ssh login without password need chang expect script order support machin without password that? run machin need password run machin need password,0.20987654320987653,17,expect ksh linux tcl,modifi expect-bas ssh script work machin requir password,4,ssh|scripting|password|login,0.8369479775428772
man page ton great exampl,2012-10-28 05:28:05.517 UTC,48,13106607,ssh numer devic daili over...i autom bash &amp expect script major devic requir root login script work well modifi script attempt login fail switch anoth usernam prompt password possible? know key bad practic password script import case,0.25,12,bash expect,ssh login bash expect,5,ssh|login|scripting|username|password,0.8326317667961121
try access “file” realli virtual devic bypass perl script contact user termin directli got open normal expect command ask user give password rememb turn echo right time otherwis best bet actual pop gui use littl tcl/tk script pretti trivial reason secur get password password alway commun non-intercept pipe downsid requir gui present gui probabl need made prettier bare bone need,2014-02-07 01:55:36.313 UTC,163,21617867,expect script prompt user without write stdout? possibl prompt user stderr? script written perl autom test use ssh order autom login ssh wrap ssh command use expect sometim password ssh expir mid-way execut code e.g rsa token refresh everi 30second found make expect script prompt password? work great except prompt user stdout perl script read pars stdout abstract expect script without modifi perl code possible? edit realiz case stupid sinc sure perl abl interact expect script prompt sinc call expect script perl :/ still good know possibl expect write stderr :d thank,0.147239263803681,24,expect perl ssh tcl,expect/tcl script prompt user without write stdout,7,ssh|scripting|login|password|rsa|bypass|security,0.8261129260063171
need use ssh-key gener rsa keypair copi server one simpl command log without password want password instal sshpass util present apt/yum try expect eg,2019-04-12 08:37:27.597 UTC,52,55647613,command want enter password via want background process work continu bash script even previou command ended? final script work,0.17307692307692307,9,bash linux,bash script continu even previou command end,4,scripting|password|ssh|rsa,0.8214028477668762
develop expect script alway add top script expect show match perhap match prompt someth someth,2014-08-20 16:32:16.82 UTC,83,25409957,tri execut command remot ssh use expect script log password far follow script detail chang cours name script run appar script manag login prompt howev script seem wait bit exit back ssh without make directori call pswdtest check afterward tri look tutori etc chang script way think e.g instead run window cygwin henc network log use linux idea,0.18072289156626506,15,cygwin expect linux shell ssh,use ssh expect script cygwin,4,ssh|scripting|password|login,0.82081538438797
confus expect syntax shell syntax want,2014-01-23 13:16:41.17 UTC,32,21309308,tri login remot host use expect &amp spawn autom go till password prompt came termin wihtout suppli password wrong script,0.25,8,expect ssh,password suppli ssh login,4,ssh|password|login|scripting,0.8098680973052979
per doc prompt password -w --no-password never issu password prompt server requir password authent password avail mean .pgpass file connect attempt fail option batch job script user present enter password -w --password forc pg_restor prompt password connect databa,2020-02-12 15:00:07,88,60191194,want import backup pg_restor without password prompt.i sever option run script alway ask password pg_dump work pg_restor run pg_restor command enter password want passwordless command least want enter password script work without user interact work work 1 2 3 ideas? regard,0.2159090909090909,19,bash postgresql pg-restore,pg_restor ignor .pgpass pgpassword environ variabl,4,password|scripting|authentication|availability,0.8088595271110535
