id,score
"438","54"
"3385","101"
"13254","23"
"17817","13"
"20510","5"
"29680","7"
"32333","5"
"33104","9"
"34490","158"
"38838","14"
"39983","3"
"45097","5"
"49158","6"
"51283","28"
"52344","1"
"52646","20"
"53511","0"
"61760","2"
"66870","11"
"72242","38"
"75980","1398"
"76408","5"
"81410","14"
"86477","135"
"86513","539"
"88311","754"
"93911","36"
"95213","99"
"102496","7"
"114148","1"
"116682","1"
"117141","5"
"117352","4"
"119818","0"
"120189","2"
"121490","3"
"128028","4"
"133546","9"
"141427","5"
"142573","1"
"153039","5"
"155751","2"
"162159","179"
"169334","3"
"176255","2"
"179355","292"
"184028","3"
"185149","-1"
"186932","2"
"195509","5"
"196776","2"
"198974","10"
"205468","2"
"215302","4"
"223097","11"
"226637","1"
"234590","2"
"235759","6"
"240362","3"
"245600","7"
"247110","65"
"250932","-4"
"252665","105"
"253724","4"
"268320","5"
"271031","3"
"272342","6"
"278122","11"
"278651","1"
"283774","13"
"286824","2"
"288287","0"
"291665","4"
"292362","4"
"295566","78"
"301855","0"
"302914","53"
"308501","3"
"316390","16"
"319113","5"
"332872","2496"
"333532","23"
"334259","3"
"334519","44"
"335019","7"
"338563","0"
"339732","1"
"342409","132"
"343111","0"
"350299","15"
"351627","8"
"355043","30"
"366647","8"
"367079","5"
"372980","75"
"378848","0"
"381042","4"
"386656","1"
"387104","5"
"394673","3"
"395045","12"
"395592","77"
"399572","3"
"406415","1"
"421458","7"
"426463","4"
"429005","11"
"433558","1"
"435408","0"
"438886","2"
"443430","28"
"447537","18"
"452415","8"
"454813","3"
"457239","10"
"467885","2"
"467897","1"
"468089","1"
"470531","1"
"472552","0"
"475840","-1"
"476576","0"
"476821","10"
"477053","3"
"479499","5"
"482213","0"
"483018","3"
"484261","13"
"491914","57"
"496152","4"
"503469","2"
"505235","0"
"507591","0"
"512825","14"
"514688","6"
"516127","6"
"521639","17"
"522064","16"
"525734","2"
"526391","1"
"526576","14"
"527973","5"
"530426","8"
"534051","5"
"539488","5"
"540496","0"
"553485","1"
"554546","2"
"556194","25"
"559600","7"
"561039","14"
"562250","0"
"572107","1"
"579661","1"
"581730","3"
"591794","4"
"593419","5"
"593593","11"
"594443","1"
"595228","74"
"597028","52"
"604924","3"
"608453","0"
"610048","8"
"615144","0"
"615954","0"
"625768","9"
"631661","5"
"631671","0"
"633445","1"
"637311","2"
"641713","0"
"646086","21"
"647696","7"
"651466","3"
"651590","6"
"651713","1"
"651819","1"
"655174","1"
"671042","7"
"675380","2"
"675392","4"
"681530","1"
"682260","135"
"686455","4"
"688196","167"
"688686","0"
"690730","1"
"691223","4"
"691276","9"
"699185","10"
"701084","6"
"701580","11"
"713600","0"
"718611","27"
"721446","11"
"723886","12"
"724950","2"
"728706","0"
"732223","2"
"733463","0"
"734561","8"
"739850","6"
"742089","9"
"743939","42"
"746347","10"
"747641","368"
"753759","4"
"754633","0"
"754761","14"
"755994","1"
"756492","63"
"756800","5"
"762520","1"
"764565","3"
"764833","1"
"768268","104"
"770195","1"
"770830","0"
"774627","0"
"778476","1"
"779959","17"
"787894","10"
"791694","1"
"793812","109"
"798785","-3"
"799932","12"
"801506","0"
"805887","4"
"807943","3"
"808748","1"
"808816","97"
"810043","6"
"811195","21"
"812483","3"
"821375","4"
"824040","2"
"827016","2"
"832958","4"
"834988","2"
"839983","1"
"841984","2"
"844719","3"
"846797","1"
"856047","-1"
"858773","6"
"859306","2"
"859893","0"
"860246","2"
"863323","1"
"870019","17"
"874634","50"
"876557","10"
"877727","3"
"877916","4"
"884209","2"
"885909","7"
"897157","8"
"898683","7"
"900115","0"
"904346","3"
"904442","2"
"906900","9"
"908283","1"
"921486","3"
"923948","4"
"926137","44"
"932423","2"
"933199","5"
"934213","5"
"941594","987"
"942518","2"
"945015","18"
"945981","1"
"946170","32"
"948172","73"
"948192","1"
"948507","-2"
"953118","12"
"957884","2"
"963403","5"
"977686","1"
"983977","0"
"984680","2"
"985074","2"
"986866","8"
"991542","0"
"992944","0"
"999010","5"
"1000351","1"
"1006674","7"
"1007337","23"
"1013720","0"
"1019707","16"
"1020368","56"
"1021798","0"
"1022112","68"
"1024730","1"
"1029293","1"
"1040724","3"
"1042692","-1"
"1043996","0"
"1046722","2"
"1047391","3"
"1053556","13"
"1057871","1"
"1058338","0"
"1062254","2"
"1063876","7"
"1068271","4"
"1070835","0"
"1071837","1"
"1072540","12"
"1081025","1"
"1081449","1"
"1083546","6"
"1084410","0"
"1085236","3"
"1085756","53"
"1086801","13"
"1088000","5"
"1091665","2"
"1097427","0"
"1097923","3"
"1099547","3"
"1099697","1"
"1103200","1"
"1104565","3"
"1105434","26"
"1110758","1"
"1113902","19"
"1125772","15"
"1127690","0"
"1130296","11"
"1135398","1"
"1139489","1"
"1139632","1"
"1143417","4"
"1145164","1"
"1149191","3"
"1149611","14"
"1150111","3"
"1154281","1"
"1157775","4"
"1161157","8"
"1161378","3"
"1162521","2"
"1163985","1"
"1164118","0"
"1168552","2"
"1168983","0"
"1171207","4"
"1172045","3"
"1180076","17"
"1180512","0"
"1180716","0"
"1192716","0"
"1196418","24"
"1197191","0"
"1200091","3"
"1202910","4"
"1206390","0"
"1214595","1"
"1214974","0"
"1215556","3"
"1215709","2"
"1216213","4"
"1216640","2"
"1216903","0"
"1217170","2"
"1217926","11"
"1221371","45"
"1222249","3"
"1223586","1"
"1224694","2"
"1225794","7"
"1231477","0"
"1238628","4"
"1241181","1"
"1241570","7"
"1244182","4"
"1244932","1"
"1249413","2"
"1253396","0"
"1265654","2"
"1266605","7"
"1267873","1"
"1275888","0"
"1275948","10"
"1276238","2"
"1276647","2"
"1279418","0"
"1281795","20"
"1282949","1"
"1283909","1"
"1287180","7"
"1287620","2"
"1290423","0"
"1291363","10"
"1292792","1"
"1292841","1"
"1296597","1"
"1297025","1"
"1300317","0"
"1301117","0"
"1303746","1"
"1306823","6"
"1308057","1"
"1314611","1"
"1317598","4"
"1321969","7"
"1323925","1"
"1325378","4"
"1327048","-1"
"1328361","0"
"1333648","3"
"1341622","1"
"1344188","0"
"1347099","16"
"1349397","2"
"1350748","0"
"1352169","4"
"1359624","7"
"1362256","2"
"1368164","5"
"1371333","1"
"1375393","0"
"1376746","0"
"1380144","2"
"1381010","2"
"1382788","15"
"1383142","8"
"1386978","1"
"1387005","7"
"1388609","35"
"1403646","3"
"1415205","39"
"1415218","0"
"1418846","0"
"1420499","2"
"1426984","8"
"1427649","5"
"1432592","0"
"1435315","1"
"1447499","2"
"1453551","5"
"1455037","39"
"1457733","1"
"1457793","0"
"1460915","0"
"1462462","0"
"1463182","1"
"1463867","45"
"1466122","2"
"1469084","0"
"1475128","4"
"1482803","1"
"1484671","1"
"1485020","0"
"1492560","0"
"1495371","2"
"1497481","66"
"1500959","1"
"1503122","4"
"1508825","1"
"1510442","2"
"1511283","4"
"1513871","13"
"1516715","1"
"1519735","0"
"1520973","1"
"1526233","1"
"1528012","6"
"1530083","1"
"1532137","2"
"1532193","51"
"1534166","2"
"1534489","5"
"1537478","2"
"1547884","81"
"1551070","4"
"1555149","1"
"1557487","1"
"1560300","0"
"1562145","2"
"1565052","1"
"1571366","0"
"1576040","5"
"1580504","1"
"1582511","0"
"1582738","2"
"1584807","2"
"1596723","2"
"1597153","2"
"1600888","0"
"1608703","0"
"1614811","8"
"1617858","1"
"1619117","0"
"1622145","7"
"1625816","5"
"1626919","6"
"1628185","0"
"1628522","1"
"1628566","4"
"1628799","3"
"1630609","0"
"1631134","5"
"1631624","2"
"1631683","6"
"1633173","5"
"1637275","35"
"1638248","4"
"1640342","2"
"1640731","0"
"1641415","2"
"1645830","1"
"1646822","0"
"1649305","0"
"1650854","5"
"1651118","7"
"1652178","25"
"1655626","1"
"1655769","243"
"1659591","1"
"1660060","28"
"1660405","1"
"1666650","1"
"1666869","0"
"1674625","1"
"1675383","1"
"1676845","0"
"1677463","1"
"1680022","1"
"1683198","1"
"1690138","0"
"1691730","0"
"1693861","4"
"1695326","6"
"1700882","6"
"1702415","2"
"1704107","5"
"1706433","3"
"1712503","8"
"1716735","4"
"1717602","0"
"1717746","-2"
"1723721","13"
"1725341","8"
"1726617","22"
"1732724","4"
"1733957","8"
"1734213","1"
"1734469","1"
"1735374","13"
"1736161","11"
"1738715","0"
"1741445","1"
"1744282","1"
"1745452","2"
"1750214","2"
"1753726","5"
"1753822","4"
"1754004","1"
"1755743","0"
"1757251","0"
"1760325","0"
"1779823","1"
"1780907","1"
"1781071","2"
"1786532","13"
"1791288","2"
"1793993","0"
"1795114","1"
"1795615","1"
"1800995","3"
"1802066","0"
"1802354","-5"
"1802708","1"
"1804867","1"
"1807974","1"
"1812773","2"
"1826893","1"
"1837267","2"
"1838366","0"
"1845098","0"
"1845554","0"
"1846081","0"
"1851995","0"
"1854806","4"
"1857039","6"
"1860470","14"
"1861630","2"
"1862391","1"
"1862710","10"
"1864700","10"
"1868320","4"
"1877727","2"
"1880445","5"
"1897777","6"
"1898659","3"
"1901761","0"
"1902833","1"
"1908492","44"
"1908909","0"
"1914409","3"
"1917937","5"
"1918728","0"
"1921043","-1"
"1921832","2"
"1927380","3"
"1933926","4"
"1936633","1"
"1938430","6"
"1939289","2"
"1941499","22"
"1942199","2"
"1944400","2"
"1945005","68"
"1945248","2"
"1945741","3"
"1948535","1"
"1954502","8"
"1955343","2"
"1959448","2"
"1960681","7"
"1961438","0"
"1962299","23"
"1963195","3"
"1964714","1"
"1967181","1"
"1980001","0"
"1980345","2"
"1980772","0"
"1983292","0"
"1985638","1"
"1985812","4"
"1986708","2"
"1986953","0"
"1993833","14"
"1997786","15"
"1998341","1"
"1999096","12"
"1999234","2"
"1999961","1"
"2008173","41"
"2014938","1"
"2015984","1"
"2017094","34"
"2018241","4"
"2019730","1"
"2019790","0"
"2024294","0"
"2024968","1"
"2032814","1"
"2042243","4"
"2043557","3"
"2044517","3"
"2046786","1"
"2055851","0"
"2057164","7"
"2057403","3"
"2060750","0"
"2060982","0"
"2060984","10"
"2068595","5"
"2073564","14"
"2075923","1"
"2082262","5"
"2090872","0"
"2092143","0"
"2093666","5"
"2098046","8"
"2100184","11"
"2107251","1"
"2112644","2"
"2113463","6"
"2114896","79"
"2115796","2"
"2118882","4"
"2123362","7"
"2123586","7"
"2123641","3"
"2131527","4"
"2131843","7"
"2134085","0"
"2137505","2"
"2144468","5"
"2151166","7"
"2151171","1"
"2153681","2"
"2154976","0"
"2157272","3"
"2159920","3"
"2160221","0"
"2160232","2"
"2166532","1"
"2167310","12"
"2168836","1"
"2171303","2"
"2171875","6"
"2173465","1"
"2180133","6"
"2187103","9"
"2189408","2"
"2190261","4"
"2190279","1"
"2192948","13"
"2194473","8"
"2197492","4"
"2199638","2"
"2199898","3"
"2206415","2"
"2206586","4"
"2209105","4"
"2209457","1"
"2210260","1"
"2212223","3"
"2212478","3"
"2214799","1"
"2222355","20"
"2225257","1"
"2228860","4"
"2233062","24"
"2234283","0"
"2236936","0"
"2238107","27"
"2238515","3"
"2240129","13"
"2244357","2"
"2250270","4"
"2250752","3"
"2255476","1"
"2256495","1"
"2256950","12"
"2258781","6"
"2260799","5"
"2262672","0"
"2263010","15"
"2265991","5"
"2268814","2"
"2268985","2"
"2272207","4"
"2274438","4"
"2275241","11"
"2281728","0"
"2287123","-1"
"2287652","4"
"2288022","9"
"2292846","5"
"2298439","2"
"2299899","0"
"2300146","2"
"2301765","6"
"2302776","1"
"2303147","38"
"2304699","4"
"2309221","2"
"2312161","0"
"2312650","4"
"2317473","2"
"2320110","28"
"2322261","2"
"2323104","5"
"2325420","3"
"2329187","4"
"2329346","0"
"2330563","7"
"2330994","1"
"2332413","0"
"2349325","1"
"2350605","0"
"2353830","1"
"2362594","3"
"2363283","1"
"2365822","12"
"2370015","27"
"2372316","1"
"2372635","33"
"2374697","4"
"2381199","2"
"2381296","1"
"2381394","7"
"2382130","0"
"2384643","2"
"2386884","10"
"2389097","5"
"2389919","4"
"2392236","3"
"2397902","3"
"2399660","10"
"2402121","24"
"2407616","1"
"2411039","11"
"2412031","7"
"2412738","0"
"2414064","13"
"2415261","9"
"2418609","18"
"2421218","12"
"2427523","3"
"2430109","6"
"2436020","4"
"2436520","0"
"2441004","0"
"2443166","1"
"2447337","3"
"2447451","0"
"2447625","1"
"2452318","1"
"2452470","3"
"2455492","6"
"2458329","1"
"2461051","0"
"2461776","0"
"2462235","5"
"2464121","0"
"2464158","2"
"2464505","1"
"2466443","3"
"2470694","10"
"2474802","-3"
"2475126","0"
"2476436","1"
"2477862","1"
"2483630","1"
"2486406","5"
"2486887","-3"
"2489379","25"
"2489926","5"
"2494728","0"
"2494854","1"
"2497935","0"
"2498978","1"
