postid,links,tags,title,question,answers,Related
4636,https://api.github.com/repos/microsoft/AL/issues/4636,issue,cloud sandbox tenant per workspac,launch json show inform local develop environ use see cloud tenant publish vs code appar credenti publish cloud sandbox store per workspac result simpli switch cloud sandbox clear credenti cach first nice cloud sandbox tenant inform use publish onlin sandbox prefer user id clearli see tenant use publish process output show endpoint packag publish tell anyth tenant pleas add least line actual user id use,want see tenant option forc right tenant error access cach user better noth ad imo host alreadi usernam file password store credenti manag everyth els microsoft actual wonder store cach secur issu agre bind authent scheme whole workspac present risk accident publish someth wrong custom sandbox rememb clear credenti,Yes
50311,https://api.github.com/repos/Homebrew/homebrew-core/issues/50311,pr,openssh p fido support,use libfido add fido support openssh arguabl promin featur releas x follow guidelin x check open pull formula updat chang x built formula local name formula submit x test run fine name formula submit x build pass draft still work formula depend yet upstream see libcbor libfido dep upstream maintain prefer devis sort test fido u f function difficult test w physic secur key,build libcbor libfido fly build openssh much benefit afaik much benefit afaik avoid depend libfido libcbor formula accept separ formula build inlin go accept either maintain land patch libfido patch linux break formula linux patch libfido land linuxbrew core regardless decid wait report back patch done look readi ship merg instruct anywher use fido key openssh guess presum sshd server setup support sort pam modul challeng respons question maco readi ship linux merg break openssh homebrew linuxbrew core resolv libfido use libudev linux instead iokit maco someth express upstream say break linux blocker homebrew core sinc execut decis use ssh fido token short answer need make distribut new secur key back ssh key think need ssh server support full instruct see openssh releas note key user make sure use sha signatur previou statement incorrect thank info linuxbrew test merg long test catch problem issu far rsa goe ed key whenev possibl thank much appreci fwiw look support default build yield error use yubikey ed sk requir new firmwar glad help mention upstream releas ecdsa mandatori algorithm fido standard want support ed need token support,Yes
109,https://api.github.com/repos/OAI/OpenAPI-Specification/issues/109,pr,updat schema secur,per,pleas take look hi follow comment yes need add internalapikey section error defin secur scheme line call scheme whatev case defin see pointer suffici describ secur scheme address new pr item root level appli resourc servic need remov pr correct section top level say secur scheme servic requir defin overrid secur oper level root level two declar two method avail authent api key github access code exampl okay think understand sampl better think still issu definit friendli name one declar sampl refer oauth author method howev root level includ ref securitydefinit github accesscod translat realli understand need includ author token refer thought need scope oper definit understand defin internalapikey root ref securitydefinit apikey simpli copi definit internalapikey need declar defin oper level understand sampl comment support complex scheme defin sever scheme alway logic one scheme declar usag root want chang part scope oauth author declar accompani author scheme otherwis treat invalid remind pleas take look relat issu anoth question add support miss two author oauth flow oauth want implement secur editor spec vagu pr merg either plan secur work right stay tune updat schema repo clone find pull yet sinc need approv make addit fix unrel secur contain quit chang current version schema said want grab copi check updat spec document soon thank big help understand secur rather wait merg want review well close pull request secur done differ secur work much updat new schema chang document spec,Yes
336,https://api.github.com/repos/browsermedia/browsercms/issues/336,issue,problem login cooki,import lighthous origin ticket creat vitali kushner utc problem login cms host rd level domain e g sure issu relat domain level strang work site access non port e g possibl relat issu enter wrong user password cooki late page alreadi start render cooki becom part html see screenshot check tcp stream wireshark follow dump relev respons replac http found date thu gmt server apach debian phusion passeng php etch x power phusion passeng mod rail mod rack x runtim cooki auth token path expir thu jan gmt locat keep aliv timeout max connect keep aliv content type text html charset utf cooki xxxxx session xxxxxxx yyyyyyyyyyyyyyyyyi path httponli cach control cach redirect see empti line cooki header caus problem,,Yes
1350,https://api.github.com/repos/tootsuite/mastodon/issues/1350,issue,featur request web ui show usernam address tooltip hover,due limit width column often possibl see full usernam address user header messag ui seem strip hostnam part mention insid messag seem good idea hover usernam part header show tooltip user full usernam address mayb even detail happen avail client side alreadi hover mention x search brows repo issu ensur duplic,titl mention seem work great extend place usernam visibl well seem relat featur request show profil preview hover probabl subset richer profil preview usernam handl think done screen shot shot,Yes
892,https://api.github.com/repos/hashicorp/packer/issues/892,issue,add secur token assumerol support,within organis desir packer multipl account via assumerol function think thing miss packer pass option secur token addit access key secret function support imag build servic within aws without creat new iam account within aws account,boat need token support plan take crack work go suspect take bit organ use iam secur token believ duplic fix done,Yes
16779,https://api.github.com/repos/ampproject/amphtml/issues/16779,issue,googl amp cdn use hash publish subdomain break cor valid,issu see lot broken cor request content due publish subdomain one hash googl amp cdn exampl amp encod document googl amp cach doc expect googl amp cach subdomain exampl redirect one hash doc done certain case unclear reason subdomain creat googl amp cach human readabl charact limit technic spec allow close resembl publish domain technic limit prevent human readabl subdomain one hash use instead clear domain subject technic limit bug anyway exampl present pass cor header valid specifi amp doc publish valid one hash publish subdomain,unassign amp cach look hello amp cach provid url api give amp url amp cach url specif url see refer abl api determin correct host cor header pass valid suitabl case apolog spoke soon realiz hash url result redirect amp url api return non hash version let investig trigger redirect technic limit caus hash url step convert amp document domain idn punycod utf sinc fail redirect hash subdomain believ work intend bug current amp url api reflect hash url return non hash url origin predict go fix issu api return hash url amp url api fix abl correctli predict origin header cor track intern thank follow question technic limit caus hash url step convert amp document domain idn punycod utf sinc fail redirect hash subdomain believ work intend clear convers fail exampl sinc convers result chang far see domain use extend unicod char help understand one fail abl api determin correct host cor header pass valid sinc one hash hit api user request realist publish need valid domain api start publish keep whitelist hash domain valid requir algo criteria hash well hash output remain stabl safe assumpt well document amp cor doc hash somehow surfac googl search consol amp give publish better insight fact cor request domain subject hash track amp cor doc issu addit amp cach bug referenc think amp need provid document amp cor valid case googl cdn decid hash publish subdomain though unclear point correct recommend look specif url fail amp url format step convert domain amp subdomain part involv idn punycod idn accept hyphen third fourth charact presum prefix xn allow internation domain therefor es us vida estilo yahoo com end reject due es prefix think improv amp cor doc mention think worthwhil super confus think need engin write first mold doc hi summari right amp cor tell publish valid header incomplet googl cdn discret redirect user cdn url publish subdomain hash string human readabl result cor request made pass valid describ hash mention anywher amp doc easi publish unawar happen break cor request doc serv googl amp cach understand publish therefor need verifi domain googl cdn see redirect hash domain whitelist hash subdomain cor header valid along standard publish subdomain pattern howev unclear hash stabl enough whitelist publish bit pain right publish test discov domain hash nice surfac easili somehow hope help thank help assign crystal priorit close bug amp cach specif project track intern hi amp cor doc updat track intern well think bug track doc updat task need new issu track doc updat misunderstood left issu reopen updat amp url api work expect help cor issu meantim high prioriti issu updat awhil updat high prioriti issu updat awhil updat high prioriti issu updat awhil updat high prioriti issu updat awhil updat updat p issu updat amp url api chang url hash issu document updat still need,Yes
2142,https://api.github.com/repos/swagger-api/swagger-core/issues/2142,pr,add support min maxlength base encod string,base encod string type string format byte correctli identifi byte array lack support min max length pull request add support addit base string follow regex pattern roughli ensur real base encod string abc base encod string therefor fail schema valid,,Yes
4234,https://api.github.com/repos/k9mail/k-9/issues/4234,issue,show password,hi got big problem pw manag accident chnged cant encrypt mail anymor cant restor pw saw there option debug save person data log adb find pw possibl thank,ps access mail phone cant saw pw posit sure option actual log password end pop enough use server app pop plaintext email password dialog guess option action,Yes
112,https://api.github.com/repos/thoughtbot/guides/issues/112,issue,add shell script guid exampl,per convers great shell script guidelin exampl,anybodi want take crack take swing monday client invest day close push discuss pr,Yes
13897,https://api.github.com/repos/magento/magento2/issues/13897,pr,fix typo securitycheck array,descript updat match key use fix issu relev n manual test scenario admin reset quantiti limit attempt exceed admin password reset quantiti limit continu work contribut checklist pull request meaning descript purpos commit accompani meaning commit messag new chang code cover unit integr test applic autom test pass success build travi ci green,hi thank creat process pull request,Yes
3510,https://api.github.com/repos/argoproj/argo-cd/issues/3510,issue,restrict cipher list tls connect,summari current argo cd allow select min max version tls connect argo cd server still offer weak cipher exampl argocd server motiv modern secur cipher suit prefer old insecur one abl restrict cipher suit offer tls handshak reduc surfac attack cbc des consid weak cipher nowaday propos either take opinion approach disabl weak cipher allow user provid cipher whilelist blacklist,brought good point think still lot work tls domain intern endpoint prefer approach combin two propos opinion default allow propos cipher accord latest inform e good resourc great provid user overrid default list cipher choic e requir hi submit pr pleas look fulli implement propos strong default abil provid custom list hope thank lot realli appreci,Yes
32310,https://api.github.com/repos/godotengine/godot/issues/32310,issue,window export embed pck stop work sign,godot version alpha use export option introduc x test old pck embed process affect sign execut invalid section layout possibl os devic includ version window issu descript export window execut embed pck stop work digit sign godot detect embed pck look end execut see authenticod data append end execut well sign pck magic size end file detect like issu relev maco signatur append end execut pck embed current support maco step reproduc export project window desktop emb pck option enabl execut work sign execut use signtool form window sdk execut fail error load game data path error,refer issu seem trigger templat sign export least trigger window templat sign buildsystem refer issu seem trigger templat sign export sign templat export work extern pck signatur lost broken export embed pck export execut run window explor display unsign check command line tool result corrupt pe file current signatur end file error look asap one option fix read back execut header alreadi updat alway correct pck offset someth seem work test patch window templat sign buildsystem use relat export option icon compani product name version etc result corrupt execut well work sign imposs resign signtool error signedcod sign return error x c inform pleas see export templat bad idea case pre sign export templat bad idea case disabl sign export templat rc,Yes
1437,https://api.github.com/repos/expo/expo-cli/issues/1437,issue,expo bundl asset output,descript look standalon build host bundl tri run expo bundl asset noth happen expo bundl asset platform ios dest iosout expo bundl asset platform android dest androidout expect behavior creat shell app mainifest json bundl asset observ behavior noth cli exit error even expo debug true run publish creat shell app mainifest json bundl ios android folder asset howev push expo app work perfect though run expo export asset bundl creat dist folder environ expo cli environ info system os maco shell bin zsh binari node usr local bin node npm usr local bin npm watchman usr local bin watchman ide xcode c usr bin xcodebuild npmpackag expo react react nativ react navig npmglobalpackag expo cli,reproduc brand new project use,No
16210,https://api.github.com/repos/rails/rails/issues/16210,pr,check valid option valid method,chang prevent certain class user error result mistakenli use class method instead class method appli argument symbol valid method pass addit option name via method,bitten safe appli check seem good thing pleas squash changelog entri done believ long argument symbol safe good,Yes
11498,https://api.github.com/repos/bazelbuild/bazel/issues/11498,issue,proto lang toolchain exclud blacklist proto,descript problem featur request proto lang toolchain exclud blacklist proto bug simplest easiest reproduc bug pleas provid minim exampl possibl setup someth run built jar see one version violat proto releas newer oper system run bazel os x output releas rc get error releas releas found anyth relev search web follow issu seem relat understand whether duplic especi consid releas,fyi caus regrett differ depend version protobuf probabl broken sinc bazel around protobuf x problem alia facad librari blacklist alreadi blacklist transit origin sourc send fix,Yes
645,https://api.github.com/repos/visionmedia/superagent/issues/645,pr,retain cooki redirect host match,problem case cooki base authent case wordpress rest api redirect base authent work fine browser send cooki redirect path server superag strip cooki call result unauthor respons,relat reason merg cooki behavior realli need fix love see merg releas test session redirect fundament mani websit make bug major blocker opinion hi folk problem took day figur lot time spent dissect code broken read header ultim reason curl expect spent time pore differ behavior librari found differ behavior chang ever chang great call behavior loudli peopl find issu easili look node fetch bitinn node fetch behavior open issu look ok sever user keen merg ok merg,Yes
2644,https://api.github.com/repos/hashicorp/vault/issues/2644,issue,ha forward use newli gener privat key ecdsa p,far tell everyth configur happili vault respond normal queri activ node standbi activ node make think use cert file provid tls cert file instead ad hoc cert describ doc order perform secur activ node advertis via encrypt data store entri newli gener privat key ecdsa p newli gener self sign certif design client server authent tls cert file cert provid one share ca consul obvious match uuid string sent hostnam relev config obvious env sub happen far tell environ variabl regist correctli config hcl command line full log standbi full log primari,issu line export port set port export,Yes
113,https://api.github.com/repos/pion/webrtc/issues/113,issue,openssl gener certif,implement certif gener nativ go instead pass certif openssl code,finish golang nativ version dtl fix exist bug openssl version,Yes
7953,https://api.github.com/repos/Jackett/Jackett/issues/7953,issue,jackett destroy old session set password,environ os debian use docker develop version jackett version use proxi vpn descript use jackett decid setup password admin set password destroy old session pcs cellphon tri stop docker put result pull latest version see destroy older info work look code mayb someth chang,fix elegantli think import affect theft cooki case remov jackett configur restart invalid cooki password apikey,Yes
103,https://api.github.com/repos/ngosang/trackerslist/issues/103,issue,cross refer blacklist pull ipfilt emul secur,cross refer blacklist pull ipfilt emul secur updat frequent usual month help weed even bad ip rang bad tracker,issu level blocklist use modern isp enforc dynam ips ips fine amazon fake server bogon agre use thank great idea much free time leet open think realli use sever reason tracker public connect insecur want seen privat tracker instead matter tracker return fake peer one peer tri send wrong bad data data discard peer ban megabyt bittorr trustworthi emul scerario find tracker ip list,Yes
2973,https://api.github.com/repos/influxdata/chronograf/issues/2973,pr,unsaf ssl kapacitor insecur skip verifi,x changelog md updat link pr issu x rebas mergabl x test pass x sign alreadi sign close problem user insecur ssl kapacitor via ui configur solut hook frontend exist backend insecur skip verifi function add marshal unmarsh server databas model,close,Yes
1408,https://api.github.com/repos/VulcanJS/Vulcan/issues/1408,issue,locat account password config,clone telescop top old configur remain non default ask email letter password instead usernam letter pass,custom behavior compon learn custom check doc,Yes
14164,https://api.github.com/repos/wordpress-mobile/WordPress-iOS/issues/14164,pr,updat auth googl login refactor,ref pr use auth branch util googl login refactor note function visibl chang test verifi noth broken test test case login googl account account creat via e flag social account go walk googl account authent verifi login epilogu case login googl account fa enabl wp account kind account test case fa enabl wordpress account go walk googl account authent verifi fa code prompt case login googl use exist wp account account creat via e flag wp account go walk googl account authent verifi wp email prompt case login googl fail kind account test case go walk googl account authent immedi log attempt login via googl verifi view submiss checklist x consid ad unit test possibl x consid ad access improv chang x consid chang warrant user face releas note ad necessari,trigger instal build chang visit circleci trigger option ui connect test chang visit circleci thank,Yes
1462,https://api.github.com/repos/expressjs/express/issues/1462,pr,allow colon password req auth,password basic auth contain colon per rfc usernam cannot assum everyth colon password make req auth return correct valu user use colon password,,Yes
694,https://api.github.com/repos/Codiad/Codiad/issues/694,pr,challeng login,ref plain password transmiss anymor,pr need deeper test store password salt class user php line doubl hash seem well salt password affect exist instal chang anymor possibl check non salt password exist treat mark non salt salt new password better salt especi new instal salt password done easili php password hash gener hash includ inform algorithm salt hash password start easili detect need plain password verifi hash see hash old password salt reenter manual user current possibilti salt password plain password transmiss requir use challeng login transfer kind plain password hash password sure implement similar salt password hash javascrypt use bcrypt algo need transfer salt everytim client javascript base reprogram php password verifi function idea let know ask user enter password upon log salt option question transmiss password store implement commit work fine though secur expert mostli curiou ad salt password storag well add layer secur mayb intrud find password hash salt find salt speed test password salt hash slower intrud get access salt hash shown pictur know salt use algorithm matter want say decis send plain password send plain password serversid password salt easili send plain password current know verifi salt hash client know inform creat respons challeng client normal usernam plain password random number server look easili salt password without chang appli new chang password said current know implement challeng login thank inform repli see find figur taken time look work fine password store sourc file access larger issu secur need compani vpn access appropri setup,Yes
4138,https://api.github.com/repos/go-gitea/gitea/issues/4138,issue,featur request password protect repo,abl creat privat repo give condit access individu give password link happi provid guidanc implement requir,sourc code encrypt cool workaround creat new user add collabor read permiss post link usernam password thank tip entir sure point besid encrypt local commit encrypt version idea host import code untrust place cheap vps encrypt commit lose point use git gitea current moment keybas io encrypt git need damn feel dumb kind propos compar kind featur updat regard timelin,Yes
96,https://api.github.com/repos/novastone-media/MQTT-Client-Framework/issues/96,issue,client side certif valid issu,troubl get work client side valid use self sign certif ca author gener server certif valid via mqttsslsecuritypolici method ca gener client certif pem certif privat key combin pkc file import use built function librari assign array mqttsession certif properti far see proper cfnetwork sslhandshak fail error debug connect server side use openssl give error peer return certif remov server check client certif connect work client certif need gener specif use pem gener client certif python script establish connect perfectli theori certif correctli gener idea code,end figur go easi spot bug reason check use mention method configur start connect assign paramet member properti mqttsessionmanag initialis mqttsession pass paramet mqttsession initialis assign variabl member properti bug method mqttsession check first exist alreadi transport initialis pass along certif array point code transport initialis yet refer certif array lost transport initialis call method made basic certif properti mqttsession stub access certif properti session transport exist yet uninitialis certif array pass manag lost mqttsession instanc later initialis transport tri pass certif hold refer manag correct either initialis transport time mqttsession hold certif properti mqttsession instanc thank find inconsist send pull request want wait time fix thank post took fulli understand actual wrong fix immedi took problem happen legaci initi method problem show owntrack ios fix hi seem certif correctli latest version somebodi pleas help,Yes
2839,https://api.github.com/repos/syncthing/syncthing/issues/2839,issue,outdat secur inform,secur page mention e ed e key use sign packag releas appar apt report true pleas provid current key,yes packag actual sign subkey e fix id text key avail though link said packag refer page download tab github sign document apt packag sign differ subkey avail describ sure requir correct although obvious sourc confus sure explain secur html page purpos enabl user establish trust clearli explain key use ensur integr inform describ actual see problem least home jb gnupg creat gpg new configur file home jb gnupg gpg conf yet activ run gpg keyr home jb gnupg pubr gpg creat gpg home jb gnupg trustdb gpg trustdb creat gpg key e public key syncth releas manag import gpg total number process gpg import rsa gpg ultim trust key found jb gpg list key home jb gnupg pubr gpg pub r e uid syncth releas manag sub r f f sub r c expir jb gpg verifi var www apt dist dist syncth inreleas gpg signatur made mon oct pm utc use rsa key id e gpg good signatur syncth releas manag gpg warn key certifi trust signatur gpg indic signatur belong owner primari key fingerprint c e e e f e e e ed e jb,Yes
7088,https://api.github.com/repos/ballerina-platform/ballerina-lang/issues/7088,pr,updat decod nest bodypart multipart descript,purpos review exampl descript goal review exampl descript approach review descript minor chang user stori summari user stori address chang releas note brief descript new featur bug fix appear releas note document link product document address chang pr doc impact enter n plu brief explan doc impact train link pr chang train content applic certif type sent provid new updat certif question plu four answer question correct answer highlight bold base chang certif question answer sent certificationand past pr impact certif exam type n explain market link draft market content describ promot featur includ product page chang technic articl blog post video etc applic autom test unit test code coverag inform integr test detail test case coverag secur check follow secur code standard yes ran findsecuritybug plugin verifi report yes confirm pr commit key password token usernam secret yes sampl provid high level detail sampl relat featur relat prs list relat prs migrat applic describ migrat step platform migrat test test environ list jdk version oper system databas browser version featur fix test learn describ research phase blog post pattern librari add ons use solv problem,,Yes
29524,https://api.github.com/repos/rust-lang/rust/issues/29524,issue,rustc privaci audit visibleprivatetypesvisitor correct process item block,spawn assum block contain export item true block contain impl export,,Yes
3683,https://api.github.com/repos/realm/realm-java/issues/3683,pr,nh remov usresync crypto,remov code relat secur token live separ repo pr remov oauth provid support ros,readi review binari jcenter pr updat publish bintray jcenter pr readi merg fix packag name,Yes
6079,https://api.github.com/repos/rethinkdb/rethinkdb/issues/6079,issue,request add new util command r bcrypt,make store sensit valu password api key easier prevent requir rd parti librari command api nd integ paramet cost factor default reason secur valu insert select normal,thank propos benefit offer reql compar encrypt client feel better handl client side sinc fairli specif password encrypt method bcrypt wrong cours rethinkdb bcrypt hash actual quit nice reduc amount code requir rd parti librari exampl mysql add ton code rethinkdb deal bcrypt hash probabl ton code requir work driver bit concern lead us featur creep add addit mainten work road think add function reql requir addit librari support client languag unless run databas add addit benefit encrypt somewhat edg sinc encrypt decrypt databas sometim allow thing otherwis possibl index encrypt data though index need access encrypt key think appli bcrypt though go close feel strongli becom part reql happi give consider,Yes
