id,nanswers
"8318","4"
"14617","16"
"16451","5"
"17376","4"
"24723","8"
"29357","8"
"33745","6"
"34638","2"
"37343","4"
"39564","8"
"39916","3"
"49226","6"
"49473","2"
"65494","3"
"76324","3"
"77686","3"
"84641","4"
"90517","9"
"102788","8"
"103203","4"
"108838","2"
"119926","5"
"120380","10"
"127459","9"
"127739","4"
"132384","3"
"159282","2"
"166411","2"
"168610","16"
"171519","6"
"174131","2"
"185211","11"
"186125","3"
"196845","4"
"205183","3"
"211099","6"
"217511","4"
"219944","2"
"219999","8"
"242669","3"
"257015","6"
"276310","3"
"277044","1"
"277100","1"
"290545","2"
"295515","7"
"295628","7"
"297952","3"
"302357","3"
"308659","7"
"309615","6"
"313730","5"
"315132","5"
"318214","1"
"321061","2"
"321787","7"
"323939","4"
"324726","7"
"333812","4"
"347856","4"
"348090","4"
"350177","8"
"353815","2"
"359620","2"
"360520","11"
"362386","3"
"388749","6"
"395375","3"
"398179","3"
"398537","8"
"401985","3"
"404027","5"
"407687","4"
"429352","10"
"435912","2"
"442862","6"
"442995","3"
"461886","4"
"475833","2"
"477144","9"
"479535","7"
"491109","2"
"493646","7"
"495392","3"
"506939","7"
"521101","6"
"521418","7"
"522723","3"
"525408","3"
"528938","5"
"529997","3"
"539816","4"
"540738","2"
"546242","7"
"546438","4"
"546447","1"
"552108","6"
"556110","1"
"557746","8"
"561024","6"
"573121","1"
"573307","3"
"578679","4"
"579224","1"
"594049","3"
"605589","2"
"607560","6"
"617471","4"
"633890","5"
"635088","2"
"635171","3"
"639680","9"
"645609","1"
"646195","5"
"656373","1"
"656787","3"
"658826","1"
"659950","8"
"663890","2"
"663910","2"
"668958","1"
"673355","3"
"674510","3"
"685855","7"
"685937","2"
"686481","1"
"699254","3"
"700529","2"
"713344","2"
"715969","4"
"717854","5"
"727812","3"
"728047","4"
"728324","3"
"728531","4"
"733435","1"
"734887","3"
"738071","2"
"738188","3"
"752332","2"
"760358","2"
"761588","3"
"766675","2"
"770635","3"
"772011","4"
"773912","2"
"779973","2"
"788834","1"
"788844","5"
"789759","1"
"791677","2"
"800904","3"
"800922","5"
"801458","4"
"805686","4"
"806131","3"
"809590","2"
"819593","5"
"820334","1"
"821817","6"
"824919","3"
"827604","2"
"837417","7"
"841152","6"
"855103","5"
"856302","5"
"857153","4"
"857194","1"
"858036","3"
"861221","1"
"862350","2"
"868078","1"
"871966","1"
"877317","3"
"877562","1"
"881661","3"
"885439","2"
"892733","7"
"898026","6"
"912668","2"
"914509","1"
"915039","3"
"919983","1"
"922779","4"
"929939","3"
"935218","3"
"937168","3"
"937503","4"
"948177","3"
"956639","1"
"960415","8"
"960990","1"
"961339","1"
"964071","4"
"965304","3"
"973194","3"
"975307","2"
"975399","2"
"976696","4"
"981226","1"
"983964","7"
"988926","2"
"994404","1"
"996139","11"
"1000860","4"
"1003960","2"
"1004586","3"
"1008601","3"
"1011538","2"
"1011777","3"
"1016522","3"
"1017150","4"
"1018292","7"
"1022994","3"
"1023486","5"
"1025466","9"
"1036872","1"
"1037250","2"
"1037798","1"
"1037813","1"
"1042635","2"
"1042904","3"
"1043621","7"
"1045988","11"
"1049653","7"
"1057041","4"
"1059723","3"
"1066702","2"
"1066976","4"
"1067869","3"
"1070420","3"
"1087224","4"
"1091022","4"
"1094137","4"
"1096151","3"
"1100299","1"
"1108937","4"
"1109731","1"
"1112962","1"
"1118654","3"
"1119868","3"
"1119947","4"
"1121280","6"
"1126684","2"
"1127358","5"
"1131733","2"
"1139493","1"
